setup_name,algorithm_name,loss_function,full_path,is_library_algorithm,library_name,library_algorithm,learning_rate,momentum,step_size_method,regularization,batch_size,max_iterations,tolerance,learning_rate_schedule,feature_scaling,early_stopping,solver,method,max_iter,max_eval,tolerance_grad,tolerance_change,history_size,line_search_fn,nesterov,weight_decay,final_loss,best_loss,final_gradient_norm,best_gradient_norm,training_time,converged,iterations,best_iteration,result_type,mse,rmse,mae,r2,adjusted_r2,mape,smape,has_ml_metrics,total_operations,function_evaluations,gradient_evaluations,operations_per_iter,convergence_efficiency,operations_to_convergence,peak_memory,memory_efficiency,ops_per_problem_unit,has_complexity_data,gradient_descent_type,momentum_used,acceleration_used,final_velocity_norm,condition_number
123_gd_ols_lr_013,GradientDescentOptimizer - OLS,OLS,data\03_algorithms\gradientdescentoptimizer\123_gd_ols_lr_013,False,Unknown,Unknown,0.13,0,constant,0,0,500000,0,constant,False,False,Unknown,Unknown,0,0,0,0,0,Unknown,False,0,0.011953151122915963,0.011953151122915963,0.0009978115961540898,0.0009978115961540898,28.318878412246704,True,552,551,Best,0.02358739123228428,0.15358187143111743,0.11122235287315602,0.9319883119525171,0.9318192168464922,1.1244287000836606,1.122662830184089,True,6,1,2,0,0,0,63,0,0,True,unknown,False,False,0,0
124_gd_ols_lr_014,GradientDescentOptimizer - OLS,OLS,data\03_algorithms\gradientdescentoptimizer\124_gd_ols_lr_014,False,Unknown,Unknown,0.14,0,constant,0,0,500000,0,constant,False,False,Unknown,Unknown,0,0,0,0,0,Unknown,False,0,0.011953223954382574,0.011953223954382574,0.0009992341199586447,0.0009992341199586447,27.33347773551941,True,512,511,Best,0.02358753128168068,0.15358232737421543,0.11122255651306887,0.9319879081352502,0.9318188120252284,1.1244309544574094,1.1226649113538016,True,6,1,2,0,0,0,63,0,0,True,unknown,False,False,0,0
125_gd_ols_lr_015,GradientDescentOptimizer - OLS,OLS,data\03_algorithms\gradientdescentoptimizer\125_gd_ols_lr_015,False,Unknown,Unknown,0.15,0,constant,0,0,500000,0,constant,False,False,Unknown,Unknown,0,0,0,0,0,Unknown,False,0,0.011953196923771591,0.011953196923771591,0.0009986953828747152,0.0009986953828747152,24.7514591217041,True,478,477,Best,0.023587475196009327,0.15358214478255383,0.11122247894574215,0.9319880698522094,0.9318189741442588,1.1244300791966182,1.1226641085040627,True,6,1,2,0,0,0,63,0,0,True,unknown,False,False,0,0
126_gd_ols_lr_016,GradientDescentOptimizer - OLS,OLS,data\03_algorithms\gradientdescentoptimizer\126_gd_ols_lr_016,False,Unknown,Unknown,0.16,0,constant,0,0,500000,0,constant,False,False,Unknown,Unknown,0,0,0,0,0,Unknown,False,0,0.011953209863764268,0.011953209863764268,0.0009989414542730204,0.0009989414542730204,23.322410821914673,True,448,447,Best,0.023587497614598944,0.15358221776820044,0.11122251390012593,0.9319880052106343,0.9318189093419676,1.1244304562226715,1.1226644596600748,True,6,1,2,0,0,0,63,0,0,True,unknown,False,False,0,0
127_gd_ols_lr_017,GradientDescentOptimizer - OLS,OLS,data\03_algorithms\gradientdescentoptimizer\127_gd_ols_lr_017,False,Unknown,Unknown,0.17,0,constant,0,0,500000,0,constant,False,False,Unknown,Unknown,0,0,0,0,0,Unknown,False,0,0.011953142934167604,0.011953142934167604,0.0009976186149647905,0.0009976186149647905,21.28190517425537,True,422,421,Best,0.02358736323593078,0.15358178028636985,0.11122232395456393,0.9319883926769703,0.9318192977716477,1.1244283304460685,1.1226625044021221,True,6,1,2,0,0,0,63,0,0,True,unknown,False,False,0,0
128_gd_ols_lr_018,GradientDescentOptimizer - OLS,OLS,data\03_algorithms\gradientdescentoptimizer\128_gd_ols_lr_018,False,Unknown,Unknown,0.18,0,constant,0,0,500000,0,constant,False,False,Unknown,Unknown,0,0,0,0,0,Unknown,False,0,0.011953235768733571,0.011953235768733571,0.000999433908923397,0.000999433908923397,20.110807418823242,True,398,397,Best,0.023587542497184245,0.1535823638872128,0.11122258384786596,0.9319878757965604,0.931818779606136,1.1244312106965753,1.1226651623630823,True,6,1,2,0,0,0,63,0,0,True,unknown,False,False,0,0
129_gd_ols_lr_019,GradientDescentOptimizer - OLS,OLS,data\03_algorithms\gradientdescentoptimizer\129_gd_ols_lr_019,False,Unknown,Unknown,0.19,0,constant,0,0,500000,0,constant,False,False,Unknown,Unknown,0,0,0,0,0,Unknown,False,0,0.011953238723416535,0.011953238723416535,0.0009994838756775851,0.0009994838756775851,19.27936625480652,True,377,376,Best,0.02358754530853594,0.15358237303979888,0.11122259068875881,0.9319878676903323,0.9318187714797537,1.1244312748433547,1.1226652251946954,True,6,1,2,0,0,0,63,0,0,True,unknown,False,False,0,0
130_gd_ols_lr_020,GradientDescentOptimizer - OLS,OLS,data\03_algorithms\gradientdescentoptimizer\130_gd_ols_lr_020,False,Unknown,Unknown,0.2,0,constant,0,0,10000,0,constant,False,False,Unknown,Unknown,0,0,0,0,0,Unknown,False,0,0.011953261707060755,0.011953261707060755,0.0009999267798057074,0.0009999267798057074,22.586844444274902,True,358,357,Best,0.023587587440407072,0.1535825102034964,0.11122265384762846,0.9319877462076449,0.931818649695028,1.1244319657335438,1.1226658655880146,True,6,1,2,0,0,0,63,0,0,True,unknown,False,False,0,0
131_gd_ols_lr_021,GradientDescentOptimizer - OLS,OLS,data\03_algorithms\gradientdescentoptimizer\131_gd_ols_lr_021,False,Unknown,Unknown,0.21,0,constant,0,0,500000,0,constant,False,False,Unknown,Unknown,0,0,0,0,0,Unknown,False,0,100626.71126779458,0.16755645594905716,1386.068117117453,1.5697395994298802,75.00004887580872,False,500000,15,Best,201838.60865273292,449.26451969049697,403.242839781098,-581978.7684467477,-583425.7246020068,4053.050617877819,193.96483728108848,True,6,1,2,0,0,0,63,0,0,True,unknown,False,False,0,0
132_gd_ols_lr_022,GradientDescentOptimizer - OLS,OLS,data\03_algorithms\gradientdescentoptimizer\132_gd_ols_lr_022,False,Unknown,Unknown,0.22,0,constant,0,0,500000,0,constant,False,False,Unknown,Unknown,0,0,0,0,0,Unknown,False,0,101090.06120799942,2.0090136228699316,1389.2556234444933,3.326757234461317,3.6785218715667725,False,500000,6,Best,202767.28176416626,450.2968818059551,404.1677265091845,-584656.4967860496,-586110.1104845994,4062.3930068757327,191.17205867381733,True,6,1,2,0,0,0,63,0,0,True,unknown,False,False,0,0
133_gd_ols_lr_023,GradientDescentOptimizer - OLS,OLS,data\03_algorithms\gradientdescentoptimizer\133_gd_ols_lr_023,False,Unknown,Unknown,0.23,0,constant,0,0,500000,0,constant,False,False,Unknown,Unknown,0,0,0,0,0,Unknown,False,0,122428.3860572108,4.419694529006596,1528.8645112838478,4.4717471509084215,2.1763434410095215,False,500000,4,Best,245568.3777812608,495.54856248531365,444.7877858676279,-708068.8216904127,-709829.2711809209,4470.621359132433,194.44355231339742,True,6,1,2,0,0,0,63,0,0,True,unknown,False,False,0,0
