epoch,cost
0,67742.49757054694
10,5482638501284.393
20,4.436755092786411e+20
30,3.5906183701142814e+28
40,2.9055611788247315e+36
50,1.3569751021430484e+45
60,1.0981664424861244e+53
70,8.888553488705316e+60
80,7.193000005595378e+68
90,5.820943595362699e+76
