epoch,learning_rate
0,0.001
1,0.00095
2,0.0009025
3,0.000857375
4,0.0008145062499999999
5,0.0007737809374999998
6,0.0007350918906249999
7,0.0006983372960937497
8,0.0006634204312890623
9,0.0006302494097246091
10,0.0005987369392383787
11,0.0005688000922764596
12,0.0005403600876626366
13,0.0005133420832795048
14,0.00048767497911552955
15,0.000463291230159753
16,0.00044012666865176535
17,0.0004181203352191771
18,0.0003972143184582182
19,0.00037735360253530727
20,0.0003584859224085419
21,0.0003405616262881148
22,0.000323533544973709
23,0.00030735686772502356
24,0.0002919890243387724
25,0.00027738957312183375
26,0.00026352009446574203
27,0.00025034408974245495
28,0.00023782688525533216
29,0.00022593554099256555
30,0.00021463876394293727
31,0.00020390682574579038
32,0.00019371148445850088
33,0.00018402591023557584
34,0.000174824614723797
35,0.00016608338398760718
36,0.0001577792147882268
37,0.00014989025404881545
38,0.00014239574134637466
39,0.00013527595427905592
40,0.00012851215656510312
41,0.00012208654873684796
42,0.00011598222130000556
43,0.00011018311023500529
44,0.00010467395472325501
45,9.944025698709225e-05
46,9.446824413773763e-05
47,8.974483193085076e-05
48,8.52575903343082e-05
49,8.099471081759279e-05
50,7.694497527671315e-05
51,7.30977265128775e-05
52,6.94428401872336e-05
53,6.597069817787194e-05
54,6.267216326897833e-05
55,5.953855510552941e-05
56,5.656162735025293e-05
57,5.373354598274029e-05
58,5.1046868683603266e-05
59,4.8494525249423105e-05
60,4.6069798986951947e-05
61,4.3766309037604346e-05
62,4.157799358572413e-05
63,3.949909390643792e-05
64,3.752413921111602e-05
65,3.564793225056022e-05
66,3.386553563803221e-05
67,3.217225885613059e-05
68,3.0563645913324066e-05
69,2.903546361765786e-05
70,2.7583690436774966e-05
71,2.6204505914936218e-05
72,2.4894280619189404e-05
73,2.3649566588229933e-05
74,2.2467088258818436e-05
75,2.134373384587751e-05
76,2.0276547153583635e-05
77,1.9262719795904453e-05
78,1.8299583806109228e-05
79,1.7384604615803768e-05
80,1.651537438501358e-05
81,1.56896056657629e-05
82,1.4905125382474753e-05
83,1.4159869113351015e-05
84,1.3451875657683464e-05
85,1.2779281874799288e-05
86,1.2140317781059324e-05
87,1.1533301892006358e-05
88,1.095663679740604e-05
89,1.0408804957535738e-05
90,9.88836470965895e-06
91,9.393946474176e-06
92,8.924249150467201e-06
93,8.478036692943842e-06
94,8.054134858296648e-06
95,7.651428115381816e-06
96,7.2688567096127245e-06
97,6.905413874132088e-06
98,6.560143180425483e-06
99,6.2321360214042085e-06
