iteration,loss,gradient_norm,learning_rate
0,44.39616369168194,9.519059573390289,0.07
1,38.34357673896113,8.787081183987306,0.07
2,33.20751012001503,8.219340001834329,0.07
3,28.71180027558152,7.62288026474323,0.07
4,24.879421884155516,7.127274015990919,0.07
5,21.475758029198385,6.574465350569755,0.07
6,18.579605933516937,6.119439119502363,0.07
7,16.088257729730227,5.709180146977928,0.07
8,13.915487514190408,5.296728623740986,0.07
9,12.035988101448087,4.928440383018971,0.07
10,10.429490957298789,4.615666143932449,0.07
11,9.009307225010014,4.270306968191909,0.07
12,7.795967517249843,3.9810537431480424,0.07
13,6.743953413097443,3.700481848293896,0.07
14,5.836449879790978,3.447138103648098,0.07
15,5.050936739089801,3.205018481057179,0.07
16,4.374759979885379,2.9863651155313717,0.07
17,3.789842695151101,2.785287229797687,0.07
18,3.2850252073032244,2.6039898319508903,0.07
19,2.8462035204154486,2.425293805841584,0.07
20,2.464046895053411,2.257447749555785,0.07
21,2.137565079701679,2.1117962054738437,0.07
22,1.8558504282944546,1.9742516572906783,0.07
23,1.6105089222032771,1.8447039179919964,0.07
24,1.398000376642647,1.7231442875101937,0.07
25,1.2134336809503274,1.6116018934674694,0.07
26,1.0541772776924994,1.507142741456542,0.07
27,0.9163979257723305,1.413673557541897,0.07
28,0.7979220874552919,1.3311741366671126,0.07
29,0.6945212367400825,1.2488584185063496,0.07
30,0.6050592865680069,1.1727169496413667,0.07
31,0.5283170907848942,1.1079923447895255,0.07
32,0.4612800051775282,1.0436719655445552,0.07
33,0.4036368369351644,0.9871021590874856,0.07
34,0.35396331520842766,0.9344306138782762,0.07
35,0.31077643880184397,0.8862632229764887,0.07
36,0.27364217531174484,0.843566862283907,0.07
37,0.24137145222755785,0.8046159885643014,0.07
38,0.2134281926359012,0.7698048427939667,0.07
39,0.18916784716397544,0.7365416988237397,0.07
40,0.16837796774434563,0.7079979787895313,0.07
41,0.15094217698525225,0.6846291191569657,0.07
42,0.13509378710008826,0.6602185245540745,0.07
43,0.12165131290730215,0.6394511843684879,0.07
44,0.10984356577240495,0.6199550267604261,0.07
45,0.09971274302701205,0.6037447101571894,0.07
46,0.09086270797611118,0.5887979501965417,0.07
47,0.08325151125519503,0.5754785795628808,0.07
48,0.07682843984554384,0.5649263163969785,0.07
49,0.07113809131927351,0.5543869037231897,0.07
50,0.06620406905508329,0.5453896568488695,0.07
51,0.06204947758042831,0.537585856961795,0.07
52,0.05832551183579674,0.53045340722707,0.07
53,0.05516967892342996,0.5246397344979581,0.07
54,0.05237587366036092,0.5195667420908349,0.07
55,0.04997492277400411,0.5148340841705843,0.07
56,0.04784278343314687,0.5105886441762355,0.07
57,6.869702685528935,8.741766554660325,0.07
58,6.865846318501886,8.738635383214756,0.07
59,6.863315916447797,8.737056113714939,0.07
60,6.861651004853747,8.736252283643617,0.07
61,6.860461792488421,8.736021968122062,0.07
62,6.859607003849752,8.736025575906895,0.07
63,6.859096836655537,8.73633431498179,0.07
64,6.8584576898481,8.736247755522403,0.07
65,6.857900954430194,8.736172506750986,0.07
66,6.857214273193289,8.735911705278044,0.07
67,6.856978325634759,8.73614234822804,0.07
68,6.8564494653297965,8.735863726233376,0.07
69,6.8558250752870835,8.735498839885885,0.07
70,6.856145407527699,8.736303481766098,0.07
71,6.855609615082961,8.735865781622666,0.07
72,6.85519125285082,8.7356158319168,0.07
73,6.855107026328084,8.735739244328297,0.07
74,6.854567826242248,8.735293546562158,0.07
75,6.854302525486758,8.735106835156957,0.07
76,6.854030757022655,8.734907005548804,0.07
77,6.853917571045228,8.734952117741468,0.07
78,6.854003312374242,8.73525542584637,0.07
79,6.853949728575344,8.735307778396205,0.07
80,6.8541423515371305,8.735678046870843,0.07
81,6.854240339147647,8.735882071326351,0.07
82,6.853907850913632,8.735439575658077,0.07
83,6.8537733980448055,8.735329221871808,0.07
84,6.853861543602029,8.73552973937987,0.07
85,6.853643683761965,8.7352540864593,0.07
86,6.853953090908529,8.735795148993434,0.07
87,6.853801167280915,8.73562240516337,0.07
88,6.853865824836663,8.735713735836125,0.07
89,6.853354915728455,8.734995308737963,0.07
90,6.853692619704947,8.735525721100924,0.07
91,6.853768390957983,8.735666831497912,0.07
92,6.85378711452977,8.735703268908471,0.07
93,6.8541222145350025,8.7361456736284,0.07
94,6.853727696818958,8.735584336039372,0.07
95,6.8535937896031935,8.735450172474405,0.07
96,6.853624121585376,8.735574109600748,0.07
97,6.853619685286919,8.735589029171859,0.07
98,6.854049103080049,8.73616746483097,0.07
99,6.854109088030848,8.7362234130178,0.07
100,6.853696002544094,8.73564958274239,0.07
101,6.853363772986582,8.73532224162219,0.07
102,6.853506341861939,8.73549773715944,0.07
103,6.853437093641349,8.735429818539176,0.07
104,6.853306452595852,8.73521103375902,0.07
105,6.853396105323874,8.73541244533729,0.07
106,6.853513047642656,8.735552107964377,0.07
107,6.853664661343005,8.735793622373311,0.07
108,6.8533769568878915,8.735334955179372,0.07
109,6.853078970819243,8.73491840634971,0.07
110,6.853261472618797,8.735277808785549,0.07
111,6.853531003913433,8.735694945634242,0.07
112,6.85359968860992,8.735760604021964,0.07
113,6.8533167973562135,8.73534219596195,0.07
114,6.853484889255481,8.735644380994783,0.07
115,6.853554536154139,8.735768790529942,0.07
116,6.853331508560462,8.73542240128456,0.07
117,6.853364988945805,8.735426613776418,0.07
118,6.8534037457535915,8.735496419633716,0.07
119,6.853586293975529,8.735833531078333,0.07
120,6.853573923083921,8.735772133692137,0.07
121,6.853375768524851,8.735470465522875,0.07
122,6.85332568778646,8.735430736316124,0.07
123,6.853343541096911,8.735492459997426,0.07
124,6.853285519009469,8.73536493855696,0.07
125,6.853469772424889,8.735680665742155,0.07
126,6.8533868574000065,8.735543074000805,0.07
127,6.853371356876168,8.735527269910888,0.07
128,6.853402798771845,8.73553602497443,0.07
129,6.853597870206618,8.73583208618111,0.07
130,6.853545311461841,8.735760452427952,0.07
131,6.853274766936162,8.735426020588145,0.07
132,6.853274906248053,8.735406484007775,0.07
133,6.853458239998512,8.735647254003974,0.07
134,2232.773278852884,157.86133256926854,0.07
135,2232.016003328591,157.8078178985778,0.07
136,2231.7917421420025,157.79225921062908,0.07
137,2231.6813531135194,157.78526892612354,0.07
138,2231.612324065076,157.7814582722199,0.07
139,2231.5683838843215,157.77943674134,0.07
140,2231.522612355546,157.7771047323133,0.07
141,2231.4878607445357,157.7754659852752,0.07
142,2231.4620794483094,157.77431576942405,0.07
143,2231.4428056579195,157.773602247846,0.07
144,2231.4231503526476,157.7729182774427,0.07
145,728296.9504142293,2851.076762853051,0.07
