iteration,step_size
0,0.30147410509100026
1,0.28212909683710347
2,0.32735943068702217
3,0.3625724660309659
4,0.3713514023027476
5,0.3446396797602025
6,0.345749091144402
7,0.3485711298158355
8,0.3520952262089684
9,0.35807447888284993
10,0.36573019633941367
11,0.37366443158210555
12,0.38229952687366997
13,0.3903246276164614
14,0.3982882830364122
15,0.40515084724601486
16,0.41144269981193876
17,0.41655167467615
18,0.42114399761687904
19,0.4250229908377935
20,0.42868232343623347
21,0.43195925620078646
22,0.4350297539329569
23,0.4378487335172162
24,0.4404309080708976
25,0.44289146569109744
26,0.4451228752328577
27,0.4473373852706316
28,0.4493326489599407
29,0.4513653612662317
30,0.4531809749595905
31,0.45504859037033757
32,0.4566986690805939
33,0.4583957314703952
34,0.45988136961917636
35,0.46140764937870143
36,0.4627393057889568
37,0.4641091935180665
38,0.46530593543587645
39,0.466538133315083
40,0.46761626870569617
41,0.4687240549095485
42,0.4696931200269414
43,0.4706845966085535
44,0.4715510736668149
45,0.472433772655318
46,0.47320543628439365
47,0.4739893795945513
48,0.4746769512201462
49,0.4753749844890061
50,0.47599145062633624
51,0.4766178613711187
52,0.4771766786193569
53,0.47774521102968814
54,0.4782583193462438
55,0.47878029433518066
56,0.4792564669921847
57,0.47973940822459893
58,0.48018325013387236
59,0.48063027566657335
60,0.4810420739084627
61,0.4814521875678089
62,0.48182864221536964
63,0.48219782642912284
64,0.48253343409576616
65,0.48285621409296114
66,0.48314491781753494
67,0.48341600433319654
68,0.4836527550844363
69,0.4838684733494526
70,0.48405048443987697
71,0.48420983749084734
72,0.48433743548026764
73,0.4844427442903083
74,0.4845197845632169
75,0.4845768876473252
76,0.4846107256303761
77,0.4846287349861516
78,0.48462975722233265
79,0.484620386125092
80,0.48460113412601585
81,0.48457765290217836
82,0.4845516251513772
83,0.48452756203170777
84,0.48450784398191876
85,0.4844956089551223
86,0.48449353037730997
87,0.4845031710858433
88,0.48452719714724013
89,0.484565476320625
90,0.4846204927541739
91,0.48469040834996463
92,0.4847774765126728
93,0.48487825346479674
94,0.484994819462727
95,0.4851223190599076
96,0.48526279294824465
97,0.48541023612762496
98,0.48556682697435277
99,0.4857257156510546
100,0.4858894110150013
101,0.4860505445397174
102,0.4862121412930499
103,0.48636664383262806
104,0.4865177524431169
105,0.4866580356642952
106,0.48679198087228026
107,0.4869125595689038
108,0.48702508813598366
109,0.4871231521935021
110,0.48721284660502506
111,0.48728848873840985
112,0.4873567942030254
113,0.48741281813506826
114,0.4874636338955706
115,0.48750492998572925
116,0.48754379371529377
117,0.4875763572434766
118,0.4876093426606431
119,0.48763909651928417
120,0.48767161860256636
121,0.4877032574830618
122,0.48773901255657875
123,0.48777509435286354
124,0.4878153487067093
125,0.48785582604979677
126,0.48789922006320535
127,0.48794154872084183
128,0.487984521624183
129,0.48802441579222344
130,0.48806228250310596
131,0.4880951003926019
132,0.4881237037859494
133,0.4881463076096135
134,0.4881639913254664
135,0.4881767067158636
136,0.4881861020796942
137,0.48819414086650714
138,0.4882030283292183
139,0.48821658498432124
140,0.4882370705845343
141,0.4882694641414878
142,0.4883150741852817
143,0.48837885411482623
144,0.48845981628797047
145,0.4885614284214673
146,0.4886789704189213
147,0.48881290363969776
148,0.4889534029510867
149,0.4890963868598146
150,0.4892255411941187
151,0.4893304811640025
152,0.48938671033357817
153,0.4893752036039066
154,0.4892610313763129
155,0.4890136426080541
156,0.4885856130306137
157,0.48793342623434627
158,0.48699942522715456
159,0.4857341996443261
160,0.48408691673000726
161,0.4820305892781649
162,0.4795638867885268
163,0.476732396845135
164,0.4736310916919104
165,0.47039933209530427
166,0.4672058383485736
167,0.4642119639990993
168,0.4615560384610816
169,0.4593217154053477
170,0.45755148548956776
171,0.45623739774394584
172,0.4553517410169426
173,0.4548429735459495
174,0.45466185715547364
175,0.45475293982094434
176,0.4550718706818469
177,0.4555743825757582
178,0.45622795020709145
179,0.45700112845194274
180,0.45787218136864083
181,0.4588198680271493
182,0.45983034897100705
183,0.460889513550274
184,0.46198877829777946
185,0.4631187219294057
186,0.46427409026761046
187,0.46544845341718916
188,0.46663860295802223
189,0.4678399828674325
190,0.4690506056042719
191,0.4702670627872736
192,0.4714880549732473
193,0.4727108364737585
194,0.4739344322050298
195,0.475156408415348
196,0.47637583290429153
197,0.4775902913469826
198,0.4787986331392197
199,0.4799981752212417
200,0.48118726685981256
201,0.48236264474091584
202,0.48352185172377576
