epoch,cost
0,1.0421075901852902e+25
10,3.057304472648309e+47
20,3.5620398888097065e+67
30,1.0237426263174462e+86
40,1.7646211672750094e+103
50,3.1018436714575567e+119
60,7.924622360588868e+134
70,3.7932509353880984e+149
80,4.117226823700978e+163
90,1.1765270961640038e+177
