epoch,learning_rate
0,0.1
1,0.07071067811865475
2,0.05773502691896258
3,0.05
4,0.044721359549995794
5,0.040824829046386304
6,0.03779644730092272
7,0.035355339059327376
8,0.03333333333333333
9,0.03162277660168379
10,0.030151134457776365
11,0.02886751345948129
12,0.02773500981126146
13,0.02672612419124244
14,0.025819888974716113
15,0.025
16,0.024253562503633298
17,0.023570226039551587
18,0.022941573387056175
19,0.022360679774997897
20,0.021821789023599242
21,0.021320071635561044
22,0.02085144140570748
23,0.020412414523193152
24,0.02
25,0.019611613513818404
26,0.019245008972987525
27,0.01889822365046136
28,0.018569533817705187
29,0.018257418583505537
30,0.01796053020267749
31,0.017677669529663688
32,0.017407765595569787
33,0.017149858514250885
34,0.016903085094570332
35,0.016666666666666666
36,0.01643989873053573
37,0.016222142113076255
38,0.016012815380508715
39,0.015811388300841896
40,0.015617376188860608
41,0.015430334996209192
42,0.015249857033260468
43,0.015075567228888182
44,0.014907119849998597
45,0.014744195615489715
46,0.014586499149789456
47,0.014433756729740645
48,0.014285714285714287
49,0.01414213562373095
50,0.014002800840280098
51,0.01386750490563073
52,0.013736056394868903
53,0.013608276348795434
54,0.013483997249264842
55,0.01336306209562122
56,0.013245323570650438
57,0.013130643285972255
58,0.013018891098082389
59,0.012909944487358056
60,0.0128036879932896
61,0.01270001270001905
62,0.01259881576697424
63,0.0125
64,0.012403473458920847
65,0.012309149097933273
66,0.012216944435630522
67,0.012126781251816649
68,0.01203858530857692
69,0.011952286093343936
70,0.011867816581938534
71,0.011785113019775794
72,0.011704114719613058
73,0.01162476387438193
74,0.011547005383792514
75,0.011470786693528088
76,0.011396057645963794
77,0.011322770341445958
78,0.01125087900926024
79,0.011180339887498949
80,0.011111111111111112
81,0.011043152607484653
82,0.010976425998969036
83,0.010910894511799621
84,0.01084652289093281
85,0.010783277320343843
86,0.010721125348377948
87,0.010660035817780522
88,0.010599978800063602
89,0.010540925533894598
90,0.010482848367219183
91,0.01042572070285374
92,0.010369516947304253
93,0.010314212462587935
94,0.010259783520851542
95,0.010206207261596576
96,0.010153461651336192
97,0.010101525445522109
98,0.010050378152592122
99,0.01
