iteration,loss,gradient_norm,step_size,line_search_iterations
0,51.06123585288367,10.210824549473163,1.0,0.0
1,0.01774643844573496,0.09988288650785958,1.0,0.0
2,0.012757094977826955,0.0009892422257142676,1.0,0.0
3,0.012756605574941522,9.797475986728595e-06,1.0,0.0
4,0.012756605526936176,9.703440993489897e-08,1.0,0.0
5,0.012756605526931466,9.610314767426073e-10,,
