iteration,loss,gradient_norm,step_size
56,3.433954243912339e+18,1967009.1035367132,1.4272476927059634e-05
57,3.4402233178147574e+18,1444049.7885323956,1.4272476927059634e-05
58,3.4467068988212234e+18,1198490.0490003144,1.4272476927059634e-05
59,3.453273612857441e+18,1565110.2278316359,1.4272476927059634e-05
60,3.4594403548714465e+18,1142713.962666837,1.4272476927059634e-05
61,3.465852267297857e+18,1965967.8003770588,1.4272476927059634e-05
62,3.4722486627862784e+18,1866196.136787723,1.4272476927059634e-05
63,3.478716972633616e+18,2322959.8583742264,1.4272476927059634e-05
64,3.4849989479262797e+18,1601688.6177774144,1.4272476927059634e-05
65,3.4914459203320474e+18,1584887.348352253,1.4272476927059634e-05
66,3.4978057074113935e+18,1894761.6800905764,1.4272476927059634e-05
67,3.5042253245398994e+18,2112577.719358863,1.4272476927059634e-05
68,3.510671376372842e+18,1855378.0589528945,1.4272476927059634e-05
69,3.5170374660136177e+18,2032089.0521831638,1.4272476927059634e-05
70,3.5234033879122437e+18,2187085.96736015,1.4272476927059634e-05
71,3.530640362387675e+18,2268088.8568268837,1.4272476927059634e-05
72,3.5377225930392776e+18,2504297.068300994,1.4272476927059634e-05
73,3.5448946445207603e+18,2839188.670984007,1.4272476927059634e-05
74,3.552091593870197e+18,3770670.1464270735,1.4272476927059634e-05
75,3.559168249500298e+18,3490736.7939056074,1.4272476927059634e-05
76,3.566495665817675e+18,3462337.550507497,1.4272476927059634e-05
77,3.5736652421944535e+18,4132700.304408342,1.4272476927059634e-05
78,3.580935039257166e+18,3463294.3757128366,1.4272476927059634e-05
79,3.5882366537318185e+18,3346662.9340372165,1.4272476927059634e-05
80,3.595590393084741e+18,3636776.6262789518,1.4272476927059634e-05
81,3.6028909281372124e+18,3635628.347550813,1.4272476927059634e-05
82,3.6100019345228477e+18,3660434.24634058,1.4272476927059634e-05
83,3.6171452437448494e+18,3391226.964577941,1.4272476927059634e-05
84,3.624429187399566e+18,3342735.851883592,1.4272476927059634e-05
85,3.6318841344913577e+18,3021393.6662856755,1.4272476927059634e-05
86,3.639126475667723e+18,3075505.492416679,1.4272476927059634e-05
87,3.646202776321532e+18,2631103.0510833925,1.4272476927059634e-05
88,3.6533034106514985e+18,1945153.594746651,1.4272476927059634e-05
89,3.6605639583439826e+18,2109064.7631216417,1.4272476927059634e-05
90,3.6680201232927636e+18,1598822.2804727552,1.4272476927059634e-05
91,3.675044892323221e+18,1205609.214845372,1.4272476927059634e-05
92,3.6822870532380283e+18,958944.1856051215,1.4272476927059634e-05
93,3.689615654899486e+18,824089.4628404679,1.4272476927059634e-05
94,3.696837609397452e+18,577686.8585570026,1.4272476927059634e-05
95,3.7041076817845565e+18,1093030.1898284003,1.4272476927059634e-05
96,3.7111886526334116e+18,821622.1241481284,1.4272476927059634e-05
97,3.718478659899815e+18,1190890.3545688281,1.4272476927059634e-05
98,3.725836529839937e+18,699632.8829592539,1.4272476927059634e-05
99,3.7329137703214643e+18,712193.8020268844,1.4272476927059634e-05
100,3.7402208980078e+18,1043941.073609742,1.4272476927059634e-05
101,3.7474124259999017e+18,1611075.6032642182,1.4272476927059634e-05
102,3.754729549091899e+18,1171067.5726414518,1.4272476927059634e-05
103,3.762086768486899e+18,1191377.2778553476,1.4272476927059634e-05
104,3.769298749321137e+18,930279.529453718,1.4272476927059634e-05
105,3.7764773686718633e+18,1122526.0416342057,1.4272476927059634e-05
106,3.783801810300103e+18,912766.4755724947,1.4272476927059634e-05
107,3.7908557580957727e+18,951281.9659181546,1.4272476927059634e-05
108,3.798049256005777e+18,594206.9582450474,1.4272476927059634e-05
109,3.8049905915198044e+18,553412.1274384387,1.4272476927059634e-05
110,3.812131840350277e+18,559447.321081084,1.4272476927059634e-05
111,3.8191351482588723e+18,709727.4730594074,1.4272476927059634e-05
112,3.8265798180945336e+18,1115771.8872403738,1.4272476927059634e-05
113,3.833860596436715e+18,1020270.9457800299,1.4272476927059634e-05
114,3.841179198199554e+18,1495034.602066747,1.4272476927059634e-05
115,3.8483442943866404e+18,1107084.7756441084,1.4272476927059634e-05
116,3.855475706329623e+18,1504778.6399136723,1.4272476927059634e-05
117,3.8627158439414656e+18,1326375.1043176278,1.4272476927059634e-05
118,3.8698837556452736e+18,1591709.6384861756,1.4272476927059634e-05
119,3.877224470783783e+18,1419483.327292174,1.4272476927059634e-05
120,3.884507687271021e+18,1988745.6785868388,1.4272476927059634e-05
121,3.8916815765751854e+18,2107489.5885054483,1.4272476927059634e-05
122,3.8986563480858737e+18,1990024.1078679764,1.4272476927059634e-05
123,3.9058496290344166e+18,1670306.4491726477,1.4272476927059634e-05
124,3.9128947364868265e+18,1593690.5615332774,1.4272476927059634e-05
125,3.920072093109831e+18,1988280.5701826212,1.4272476927059634e-05
126,3.9272468750272205e+18,1659748.9873382433,1.4272476927059634e-05
