,price
horsepower,0.605403702619539
engine_displacement,0.3754935778877691
year,0.3553655175531489
mileage,0.27408160402016674
highway_fuel_economy,0.25542965185514743
owner_count,0.23060166563281873
city_fuel_economy,0.17761856143632546
seller_rating,0.06722958937321796
daysonmarket,0.06328823863008111
