iteration,loss,gradient_norm,learning_rate
0,39.18583407066336,8.857428000417153,0.125
1,29.998114337493146,7.745105087379646,0.125
2,22.969060068321472,6.775997562042473,0.125
3,17.58871769738221,5.928536996813592,0.125
4,13.469967456833436,5.187222891137881,0.125
5,10.3168159055951,4.5387010007289,0.125
6,7.902790811640579,3.9713267308571916,0.125
7,6.054574022381208,3.4749294130190065,0.125
8,4.639509043085666,3.0406198658101147,0.125
9,3.5560530601333435,2.660626044159988,0.125
10,2.7264749316492463,2.328151107185783,0.125
11,2.0912688495063314,2.037250200534551,0.125
12,1.6048796203543074,1.7827231714089289,0.125
13,1.232431142153475,1.5600209941670384,0.125
14,0.9472224030126023,1.3651640679817114,0.125
15,0.7288108058010915,1.1946708330797968,0.125
16,0.5615449852909763,1.045495375981642,0.125
17,0.4334416616127232,0.9149728767478418,0.125
18,0.3353258318031737,0.8007719038606435,0.125
19,0.26017253960481257,0.7008526919987114,0.125
20,0.20260295368384373,0.6134306492073145,0.125
21,0.15849857263901163,0.5369444360594278,0.125
22,0.12470586112389272,0.4700280427599344,0.125
23,0.09881011632015622,0.4114863626486235,0.125
24,0.07896233531669003,0.36027382372997613,0.125
25,0.06374665924926076,0.3154756949604216,0.125
26,0.052078882929067566,0.2762917321194833,0.125
27,0.04312874849471248,0.2420218700864067,0.125
28,0.0362604485817842,0.21205370501605833,0.125
29,0.030987071242924043,0.18585154192864567,0.125
30,0.026935719225324888,0.16294681117750764,0.125
31,0.023820802062401114,0.14292968164198408,0.125
32,0.021423585752214917,0.12544171974763849,0.125
33,0.019576533670811285,0.11016946192909187,0.125
34,0.01815131602658714,0.09683878426627253,0.125
35,0.0170496282688415,0.08520996705837088,0.125
36,0.016196160302908488,0.07507336435590425,0.125
37,0.015533212591457977,0.06624559926024416,0.125
38,0.015016573303344294,0.05856621545881652,0.125
39,0.014612361080056532,0.05189472437144889,0.125
40,0.014294607211492519,0.046107995856163916,0.125
41,0.014043404013178813,0.04109794907864191,0.125
42,0.013843486777881964,0.03676950920223396,0.125
43,0.013683147746467597,0.033038805035033245,0.125
44,0.01343706475700522,0.02671947558240298,0.25
45,0.013274153257217355,0.02222313151131441,0.25
46,0.013159883214167032,0.019059430086696624,0.25
47,0.013074633528786121,0.01684272984845952,0.25
48,0.01294673146388733,0.013930152324426482,0.5
49,0.012855298688478695,0.012473137042957964,0.5
50,0.012712244650514931,0.010686851629460004,1.0
51,0.012604797752379653,0.009452539301407761,1.0
52,0.012520242246753991,0.00846037493208561,1.0
53,0.012452181883292435,0.007645383903765677,1.0
54,0.012396383503926345,0.00696374820365424,1.0
55,0.012349938708751207,0.006384942072752899,1.0
56,0.01231078462733506,0.00588721208126109,1.0
57,0.012277416629387037,0.005454744885204955,1.0
58,0.012248709949701715,0.005075845354204585,1.0
59,0.012223806720732637,0.0047439606485623195,1.0
60,0.012202122261681561,0.004627605555917969,1.0
61,0.01219729798996932,0.00472438555280553,0.25
62,0.012194751323543028,0.004359246477000554,0.125
63,0.012176860356764855,0.0050222536702478095,1.0
64,0.012176112105291865,0.0045674360830897,0.03125
65,0.012174887902673683,0.004153361798935976,0.0625
66,0.01217080683288205,0.004173483879755758,0.25
67,0.012166869583617337,0.004263952418855807,0.25
68,0.012164790762738697,0.003943684415244641,0.125
69,0.01215010497100184,0.004548842225240494,1.0
70,0.012148940750883307,0.0038563186974408044,0.0625
71,0.012145577326805148,0.003943126010463869,0.25
72,0.012143798809241577,0.0036493144427468386,0.125
73,0.012131197261016132,0.004218003586697031,1.0
74,0.012130195314947757,0.003581802138016084,0.0625
75,0.012127289260516887,0.003663938622265966,0.25
76,0.012125751747329421,0.003395470892869928,0.125
77,0.01211481738711386,0.0039251453760462875,1.0
78,0.01211394829987232,0.0033429918664030006,0.0625
79,0.012111410729142279,0.0034198045557907618,0.25
80,0.012110068595395316,0.0031754351886071237,0.125
81,0.0121004821216188,0.0036649266110907646,1.0
82,0.012099722678371635,0.0031342105440569736,0.0625
83,0.012097485097272749,0.0032053200056161766,0.25
84,0.01209630290570532,0.0029836884735146476,0.125
85,0.012087817667976569,0.0034328802380580218,1.0
86,0.012087149401405815,0.002950743837907706,0.0625
87,0.01208515860196373,0.0030159832043853783,0.25
88,0.012084108607758576,0.0028156448478835676,0.125
89,0.01207653260380521,0.003225226327056679,1.0
90,0.012075940720800607,0.002788645041595511,0.0625
91,0.012074155069339463,0.002848012543691427,0.25
92,0.012073215393681265,0.002667471489803596,0.125
93,0.01206639810060974,0.0030387419881366218,1.0
94,0.012065870675524523,0.0026445976718066843,0.0625
95,0.012064257369347712,0.0026982179056215696,0.25
96,0.012063410640916174,0.002535959525041425,0.125
97,0.012057233238833499,0.0028706662692461354,1.0
98,0.01205676059913781,0.0025158126989962364,0.0625
99,0.0120552936140009,0.002563904229080796,0.25
100,0.012054525946375377,0.0024184250335299623,0.125
101,0.012048893980686868,0.002718627348371696,1.0
102,0.012048468234489603,0.0023999471811529103,0.0625
103,0.012047126775029901,0.0024427953110255835,0.25
104,0.012046426990087419,0.002312628763615544,0.125
105,0.012041264819813394,0.0025805845320036056,1.0
106,0.012040879489714142,0.002295036949044215,0.0625
