iteration,loss,gradient_norm,step_size,line_search_iterations
0,51.45127771193793,10.241442185495178,1.0,0.0
1,0.011924579975179287,1.0136343071298841e-07,1.0,0.0
2,0.011924579974978759,4.415909126972092e-11,,
