iteration,loss,time
1,102.72019987132227,0.0
2,83.42816651374281,0.0
3,67.83071093772483,0.0
4,5.942905955708477,0.0
5,0.03511250377489517,0.0
6,0.03192431549901256,0.0
7,0.030412938826677605,0.0
8,0.029643512679165828,0.0
9,0.028164810448615418,0.0
10,0.026043501678744797,0.0
11,0.02642193076402189,0.0
12,0.02548142853200437,0.0
13,0.025146259272972624,0.0
14,0.024949728043096035,0.0
15,0.024752439688622316,0.0
16,0.024455564865514173,0.0
17,0.024358287246394335,0.0
18,0.024235333066698863,0.0
19,0.024190062691974594,0.0
20,0.024168040458703983,0.0
21,0.02414602190489685,0.0
22,0.02412302364255904,0.0
23,0.024095775316444634,0.0
24,0.024074830275381973,0.0
25,0.024036172139258332,0.0
26,0.024000775488843926,0.0
27,0.02395568814118251,0.0
28,0.023902358108734516,0.0
29,0.023882796349396402,0.0
30,0.023879233808051695,0.0
31,0.023869640701008485,0.0
32,0.023868649758009647,0.0
