iteration,loss,gradient_norm
0,51.360099935661125,10.242413436615657
1,44.45742016232055,9.32799217498838
2,38.60194168001814,8.687279299155788
3,33.534992009280366,8.081753991673542
4,29.153038779437495,7.516354284945271
5,25.362131002697758,6.996925665424513
6,22.08508211385043,6.510539076633682
7,19.249145858775254,6.060636115374786
8,16.799855036885464,5.654991518058513
9,14.680496388813133,5.25496529259644
10,12.84577079105798,4.896209754910996
11,11.261188165842302,4.562123439851416
12,9.888238744602077,4.256539302746613
13,8.704362441787458,3.9634958380665917
14,7.6761151890138795,3.7005273581125273
15,6.789273585789985,3.4412543454898294
16,6.021802729763248,3.230239634489481
17,5.359001893277322,2.991422043242689
18,4.781148087756718,2.813042231010514
19,4.288106725744456,2.6197276327918293
20,3.8551713388682303,2.452914583708012
21,3.4873007907097024,2.294893382510908
22,3.161982350814344,2.150113512240411
23,2.8860452461883837,2.0254687502326085
24,2.6445161196628653,1.8910154440654048
25,2.437819843429058,1.7835393196848501
26,2.2570074707631385,1.6854895570901351
27,2.101380792708774,1.560665575900642
28,1.964746048061097,1.5267841045934234
29,1.8535692638376386,1.4233095156548818
30,1.7481419552217883,1.3413097333137962
31,1.6626985360652318,1.2611833921908828
32,1.5846198900484247,1.2032518090558066
33,1.522310106455536,1.186616662247017
34,1.4651187007504702,1.0965086432905222
35,1.4157350319701294,1.0565065430142968
36,1.3738302593291734,1.0259311844406607
37,1.3355751269337748,0.980617992716161
38,1.3074960101360313,1.0104974972858802
39,1.2789993028322986,0.9233600063164146
40,1.2547139827981884,0.8910670742396677
41,1.2323968439861792,0.9065104919121962
42,1.2186241547333732,0.9667497574183211
43,1.2018802299357074,0.8489513542026157
44,1.1901358964126858,0.862653614309198
45,1.1745608837256836,0.7856354699900266
46,1.166330990758365,0.8357718509204082
47,1.1581804057114264,0.8056348629869109
48,1.1508215028232465,0.7683388632857698
49,1.1434411960289093,0.7418380289997619
50,1.1367752661156425,0.8526620444988267
51,1.1356698437713664,0.7396018854216558
52,1.128301229517971,0.7901673537208886
53,1.1271279462701251,0.7314219907767212
54,1.1210295639836678,0.7570548576543403
55,1.120922097680288,0.7238123020642251
56,1.1169959734750157,0.7480709131612624
57,1.1136158766646242,0.7913196776898664
58,1.1180409072721194,0.7791631920503377
59,1.1099187272884508,0.7308753924415853
60,1.1125895091173057,0.7539315460574093
61,1.1084408385348103,0.7300078798823427
62,1.1098913628863964,0.7823072743554459
63,1.1077345775683178,0.7057364164262607
64,1.1060307366151427,0.7656372232307
65,1.1066920332450119,0.7390467537897998
66,1.1066313799089578,0.7202386743096102
67,1.1047509079935056,0.6985501233075025
68,1.1043240483614682,0.7323336754132169
69,1.103778137405414,0.6865967407160016
70,1.102955508002338,0.7737931703765761
71,1.105547289963441,0.7270543968807452
72,1.101953040399713,0.7123489596665226
73,1.1025455778169413,0.728210322325606
74,1.1035432221929347,0.7664347422758382
75,1.1047446598310482,0.6766357070055354
76,1.100238351403112,0.6891002644914953
77,1.1023391605326078,0.8362521936473494
78,1.1055236183828594,0.7571618764370013
79,1.1017504010721626,0.669915473679903
80,1.1013480005935992,0.769825022525348
81,1.1039405558390971,0.7686012505344698
82,1.1019793840970955,0.6976555646583674
83,1.1014593239093333,0.73810348252171
84,1.101927687474781,0.7304897706446994
85,1.1034443479072753,0.7952900942728254
86,1.1036129879911742,0.691693739083356
