iteration,loss,gradient_norm
0,41.86780981400057,9.263048542015344
10,34.23208402191182,8.360611581490092
20,27.998165175340915,7.557950854448887
30,22.90168201495236,6.834389628954922
40,18.73394139707339,6.180514543590292
50,15.325445156625728,5.589326123090462
60,12.537789782501497,5.054752635976803
70,10.257841557118303,4.571352563415095
80,8.393098952590309,4.134217368147794
90,6.8679229285084835,3.7389129125341096
100,5.620459810182387,3.381431923739644
110,4.6001270215953385,3.0581522294463057
120,3.765558051598281,2.765799381356658
130,3.082922503603125,2.501413039448185
140,2.5245526247610575,2.2623166820770604
150,2.0678203162352786,2.0460902856929772
160,1.6942188899965755,1.850545667023729
170,1.388612207391021,1.673704218011913
180,1.1386206655213194,1.5137767945203677
190,0.934119075130731,1.3691455458834991
200,0.7668260297511004,1.2383474948779487
210,0.6299680884871036,1.1200596973383052
220,0.5180051370435308,1.0130858279596289
230,0.42640577819598796,0.9163440541829359
240,0.3514636355829432,0.8288560737398194
250,0.29014711647198926,0.7497372036634719
260,0.23997653780300263,0.6781874195381942
270,0.1989236306930311,0.6134832536089873
280,0.1653293469281274,0.5549704692332419
290,0.13783663372283342,0.5020574371366296
300,0.11533545040289774,0.45420914612844027
310,0.09691779734952254,0.4109417874193555
320,0.08184093371674692,0.3718178575394138
330,0.06949729259689358,0.33644173013859313
340,0.059389873952721904,0.3044556517243025
350,0.051112117788819154,0.2755361206990857
360,0.04433144171762781,0.24939061295323373
370,0.03877577566200527,0.2257546207813525
380,0.034222547956690844,0.20438897506526107
390,0.030489676496731524,0.1850774235304986
400,0.027428199864477636,0.1676244404697375
410,0.024916249845801805,0.15185324565938707
420,0.022854121117689107,0.1376040123001324
430,0.02116023835866566,0.12473224570913954
440,0.019767857404375366,0.11310731620129492
450,0.01862236681805424,0.10261113113753807
460,0.017679080576012307,0.09313693250745421
470,0.016901432468113504,0.08458820766763978
480,0.016259499089549025,0.0768777019943595
490,0.01572879161281958,0.0699265232460546
500,0.01528926741749069,0.06366332838759146
510,0.014924521561391346,0.05802358452439971
520,0.01462112536149359,0.05294889645303298
530,0.014368085311016474,0.048386394178360256
540,0.01415640043283666,0.04428817459817599
550,0.013978700155578647,0.04061079243066285
560,0.013828948059345831,0.03731479636487056
570,0.01370219950506919,0.03436430733805682
580,0.013594403342969697,0.03172663675001716
590,0.01350223968003551,0.02937194324698107
600,0.01342298714601088,0.027272927351158622
610,0.013354414291307778,0.025404563564940964
620,0.013294690726854479,0.023743869537111793
630,0.013242314414742589,0.02226971138195754
640,0.013196052171990384,0.020962643311041695
650,0.013154890984263251,0.019804778496030462
660,0.01311799816363883,0.018779686752954793
670,0.01308468874217714,0.01787231350458456
680,0.01305439878563655,0.017068913805051784
690,0.01302666355101959,0.01635699517640587
700,0.01300109960741872,0.015725263643140672
710,0.012977390199797005,0.015163568540355428
720,0.012955273266358189,0.014662843185468129
730,0.012934531627344526,0.01421504007339686
740,0.012914984950782698,0.01381306064205003
750,0.012896483172428808,0.01345068070005865
760,0.012878901105845891,0.013122473249159583
770,0.01286213402655432,0.012823730690257005
780,0.01284609405347049,0.0125503883510837
790,0.012830707182981245,0.012298951013664086
800,0.012815910857288799,0.012066423748338417
810,0.01280165197016875,0.011850247957086309
820,0.012787885230879538,0.011648243147522388
830,0.012774571821358997,0.011458554632597604
840,0.012761678293622828,0.011279607093503334
850,0.012749175663917785,0.01111006375535169
860,0.012737038668068721,0.010948790800064622
870,0.012725245148911098,0.01079482656782192
880,0.012713775551981079,0.010647355065918598
890,0.012702612509955986,0.010505683301030664
900,0.012691740499873646,0.010369221968447117
910,0.012681145560052945,0.010237469062297139
920,0.012670815056005957,0.010109996008502922
930,0.012660737486570152,0.009986435962983826
940,0.012650902323075537,0.00986647395867491
950,0.012641299875660199,0.009749838624328261
960,0.012631921181910444,0.00963629523473377
970,0.012622757913872053,0.009525639885321993
980,0.012613802300191462,0.009417694613885797
990,0.012605047060729076,0.009312303318399311
