iteration,loss,gradient_norm,step_size,line_search_iterations
0,7.730187232428613,3.973009398640417,0.1,0
10,0.9502851533349371,1.3853027346731857,0.1,0
20,0.12600732181487653,0.4830252018406296,0.1,0
30,0.025794378381443106,0.1684204757368236,0.1,0
40,0.013610823701588629,0.058724589398912994,0.1,0
50,0.012129587849548389,0.0204759984496175,0.1,0
60,0.011949504145830075,0.007139539276480932,0.1,0
70,0.011927610170928561,0.002489403445003992,0.1,0
80,0.01192494837447398,0.000868001319413238,0.1,0
90,0.01192462476198736,0.00030265334934783,0.1,0
100,0.011924585418091683,0.00010552869888696185,0.1,0
110,0.011924580634621066,3.6795582514351855e-05,0.1,0
120,0.011924580052891409,1.2829826452856836e-05,0.1,0
130,0.011924579981995363,4.473483923485003e-06,0.1,0
140,0.011924579973204763,1.5598074112652812e-06,0.1,0
150,0.011924579971964739,5.438712226827528e-07,0.1,0
160,0.01192457997164269,1.8963617524131428e-07,0.1,0
170,0.011924579971432234,6.612205812409914e-08,0.1,0
180,0.011924579971235359,2.305537260016072e-08,0.1,0
190,0.011924579971040126,8.039018120684623e-09,0.1,0
