iteration,loss,time
1,102.44354248046875,0.011001110076904297
2,93.9959487915039,0.0077054500579833984
3,86.45806121826172,0.006006717681884766
4,79.60923767089844,0.00823664665222168
5,73.33727264404297,0.010284662246704102
6,67.57395935058594,0.008409976959228516
7,62.27016067504883,0.007525444030761719
8,57.38595962524414,0.007455110549926758
9,52.88677978515625,0.0
10,48.74156951904297,0.0
11,44.922176361083984,0.01566290855407715
12,41.40275573730469,0.0
13,38.1596565246582,0.0
14,35.17110824584961,0.015600442886352539
15,32.41705322265625,0.0
16,29.879045486450195,0.0
17,27.54014778137207,0.0
18,25.384647369384766,0.016567468643188477
19,23.3981876373291,0.0049855709075927734
20,21.567489624023438,0.004403829574584961
21,19.880329132080078,0.004005908966064453
22,18.325414657592773,0.0049953460693359375
23,16.892396926879883,0.003997325897216797
24,15.571712493896484,0.0012345314025878906
25,14.354537963867188,0.0
26,13.232757568359375,0.0
27,12.19890022277832,0.0
28,11.246037483215332,0.01573657989501953
29,10.3678560256958,0.0
30,9.55848503112793,0.0
31,8.812533378601074,0.015604734420776367
32,8.125021934509277,0.0
33,7.491372585296631,0.0
34,6.907364845275879,0.01555943489074707
35,6.369101047515869,0.0
36,5.873009204864502,0.0
37,5.415770053863525,0.01563882827758789
38,4.994347095489502,0.0
39,4.605923652648926,0.0
40,4.247926235198975,0.015609979629516602
41,3.917956829071045,0.0
42,3.613832473754883,0.0
43,3.333516836166382,0.017374038696289062
44,3.0751538276672363,0.0040073394775390625
45,2.837012529373169,0.004985809326171875
46,2.6175153255462646,0.004009246826171875
47,2.4152021408081055,0.0021283626556396484
48,2.2287240028381348,0.0
49,2.0568487644195557,0.0
50,1.8984159231185913,0.01567387580871582
51,1.7523789405822754,0.0
52,1.6177774667739868,0.0
53,1.4937041997909546,0.0
54,1.3793363571166992,0.015626907348632812
55,1.2739161252975464,0.0
56,1.1767388582229614,0.0
57,1.0871639251708984,0.015588045120239258
58,1.004592776298523,0.0
59,0.9284756183624268,0.0
60,0.8583119511604309,0.017325639724731445
61,0.7936354875564575,0.005986213684082031
62,0.7340078949928284,0.005001068115234375
63,0.6790491938591003,0.0021352767944335938
64,0.6283775568008423,0.0
65,0.5816649794578552,0.0
66,0.5385986566543579,0.01737213134765625
67,0.49890199303627014,0.005983114242553711
68,0.46230342984199524,0.004999637603759766
69,0.4285588264465332,0.0033025741577148438
70,0.39745211601257324,0.0
71,0.3687666356563568,0.0
72,0.342319518327713,0.0
73,0.3179359436035156,0.0156707763671875
74,0.29545000195503235,0.0
75,0.2747221887111664,0.0
76,0.25560814142227173,0.016095876693725586
77,0.23798054456710815,0.005017280578613281
78,0.22172431647777557,0.004982471466064453
79,0.20673222839832306,0.004430532455444336
80,0.19291101396083832,0.0060083866119384766
81,0.18016214668750763,0.00500178337097168
82,0.16840384900569916,0.004992961883544922
83,0.15755902230739594,0.004010200500488281
84,0.1475580930709839,0.004992246627807617
85,0.13833123445510864,0.0040051937103271484
86,0.1298222690820694,0.0021719932556152344
87,0.12196993827819824,0.0
