iteration,loss,gradient_norm,step_size
0,51.382792232779565,1.6902338819559841,8.585857798480367
1,51.17773097304357,8.585857349475124e-08,8.466962095320651
2,51.17773025614901,8.466961694883544e-08,8.46696161704874
3,51.17772953925462,8.466961234247536e-08,8.466961156432706
4,51.17772882236032,8.466960763909223e-08,8.466960686094211
5,51.17772810546611,8.466960297014622e-08,8.466960219199752
6,51.177727388571974,8.46695982522588e-08,8.46695974741127
7,51.17772667167789,8.4669593611092e-08,8.466959283294223
8,51.17772595478392,8.466958894913016e-08,8.466958817098217
9,51.17772523789002,8.466958419041762e-08,8.466958341227297
10,51.177724520996236,8.46695795681192e-08,8.466957878997484
11,51.17772380410246,8.466957487904854e-08,8.466957410090501
12,51.177723087208776,8.466957021161762e-08,8.466956943347611
13,51.177722370315216,8.466956549362487e-08,8.46695647154842
14,51.17772165342172,8.466956081914731e-08,8.466956004100465
15,51.177720936528246,8.466955617465141e-08,8.466955539650968
16,51.17772021963487,8.466955145508557e-08,8.466955067694721
17,51.177719502741645,8.46695468186726e-08,8.466954604052756
18,51.177718785848484,8.466954204419012e-08,8.466954126604678
19,51.17771806895534,8.466953746770553e-08,8.466953668956846
20,51.17771735206232,8.466953277811538e-08,8.466953199997972
21,51.17771663516932,8.466952810793087e-08,8.466952732979571
22,51.17771591827648,8.466952337059319e-08,8.46695225924511
23,51.177715201383684,8.466951870054306e-08,8.466951792240943
24,51.17771448449095,8.466951405288736e-08,8.466951327475071
25,51.177713767598426,8.466950927911203e-08,8.466950850097973
26,51.177713050705776,8.466950467221062e-08,8.466950389407558
27,51.17771233381331,8.466949998115001e-08,8.466949920301957
28,51.17771161692085,8.466949527954352e-08,8.466949450140795
29,51.177710900028615,8.466949060645185e-08,8.466948982827232
30,51.177710183136405,8.466948588866744e-08,8.46694851105362
31,51.177709466244146,8.466948118651967e-08,8.46694804083868
32,51.177708749352185,8.466947655894495e-08,8.466947578081765
33,51.177708032460146,8.466947190962953e-08,8.466947113149667
34,51.177707315568135,8.466946714535387e-08,8.466946636720978
35,51.17770659867641,8.466946247997147e-08,8.466946170183862
36,51.177705881784526,8.466945778382398e-08,8.466945700569719
37,51.17770516489287,8.466945310221315e-08,8.466945232407882
38,51.177704448001386,8.466944849850618e-08,8.466944772036085
39,51.17770373110984,8.466944381072656e-08,8.466944303259396
40,51.17770301421838,8.466943911725307e-08,8.46694383391326
41,51.177702297326874,8.46694343794569e-08,8.466943360131841
42,51.1777015804357,8.466942972736119e-08,8.46694289491967
43,51.17770086354451,8.466942502652266e-08,8.46694242483951
44,51.177700146653386,8.466942032447097e-08,8.466941954635027
45,51.17769942976231,8.466941565881369e-08,8.466941488067302
46,51.17769871287141,8.466941102221305e-08,8.466941024403665
47,51.177697995980445,8.466940630225107e-08,8.466940552411396
48,51.177697279089514,8.466940158481958e-08,8.466940080669527
49,51.17769656219889,8.46693969474431e-08,8.466939616926696
