iteration,loss,gradient_norm,velocity_norm
0,81810808826.63097,102443252.94331245,113209484.37951009
10,1.8456138596871609e+28,4.863128515881388e+16,5.372948938657059e+16
20,4.21552068402041e+45,2.324116987218727e+25,2.567729254840565e+25
30,9.635178582977872e+62,1.1111214814190324e+34,1.2275875438319296e+34
40,2.2023417897674705e+80,5.312194652289392e+42,5.869010575709879e+42
50,5.033969424331942e+97,2.539726233875021e+51,2.8059363537968282e+51
60,1.1506320762526551e+115,1.2142269182832463e+60,1.3415002790123449e+60
70,2.6300401763002733e+132,5.805141492947073e+68,6.413627317250996e+68
80,6.011575267285562e+149,2.7754011422419166e+77,3.0663143359782636e+77
90,1.3740868873632347e+167,1.3269015940086143e+86,1.4659853374760543e+86
100,3.140798692649669e+184,6.343831936169647e+94,7.008782447642944e+94
110,7.179033959548135e+201,3.032945609236034e+103,3.3508542099720574e+103
120,1.6409370238519202e+219,1.4500319619340806e+112,1.6020220374030202e+112
130,3.750747428442981e+236,6.932510376142286e+120,7.659165238186613e+120
140,8.573215222451557e+253,3.3143890187922146e+129,3.6617980761951535e+129
150,1.9596099351586195e+271,1.584588261951265e+138,1.7506823176987876e+138
160,4.479149302021464e+288,7.575815469086749e+146,8.369900561769418e+146
170,10000000000.0,10000000000.0,10000000000.0
180,10000000000.0,10000000000.0,10000000000.0
190,10000000000.0,10000000000.0,10000000000.0
200,10000000000.0,10000000000.0,10000000000.0
210,10000000000.0,10000000000.0,10000000000.0
220,10000000000.0,10000000000.0,10000000000.0
230,10000000000.0,10000000000.0,10000000000.0
240,10000000000.0,10000000000.0,10000000000.0
250,10000000000.0,10000000000.0,10000000000.0
260,10000000000.0,10000000000.0,10000000000.0
270,10000000000.0,10000000000.0,10000000000.0
280,10000000000.0,10000000000.0,10000000000.0
290,10000000000.0,10000000000.0,10000000000.0
300,10000000000.0,10000000000.0,10000000000.0
310,10000000000.0,10000000000.0,10000000000.0
320,10000000000.0,10000000000.0,10000000000.0
330,10000000000.0,10000000000.0,10000000000.0
340,10000000000.0,10000000000.0,10000000000.0
350,10000000000.0,10000000000.0,10000000000.0
360,10000000000.0,47958315233.1272,10000000000.0
370,10000000000.0,20000000000.0,10000000000.0
380,10000000000.0,72801098892.80518,10000000000.0
390,10000000000.0,33166247903.553997,10000000000.0
400,10000000000.0,10000000000.0,10000000000.0
410,10000000000.0,72801098892.80518,10000000000.0
420,10000000000.0,33166247903.553997,10000000000.0
430,10000000000.0,20000000000.0,10000000000.0
440,10000000000.0,10000000000.0,10000000000.0
450,10000000000.0,72801098892.80518,10000000000.0
460,10000000000.0,62449979983.98398,10000000000.0
470,10000000000.0,50990195135.92785,10000000000.0
480,10000000000.0,36055512754.63989,10000000000.0
490,10000000000.0,42426406871.19285,10000000000.0
500,10000000000.0,42426406871.19285,10000000000.0
510,10000000000.0,50990195135.92785,10000000000.0
520,10000000000.0,72801098892.80518,10000000000.0
530,10000000000.0,62449979983.98398,10000000000.0
540,10000000000.0,10000000000.0,10000000000.0
550,10000000000.0,33166247903.553997,10000000000.0
560,10000000000.0,79372539331.93771,10000000000.0
570,10000000000.0,24494897427.83178,10000000000.0
580,10000000000.0,30000000000.0,10000000000.0
590,10000000000.0,42426406871.19285,10000000000.0
600,10000000000.0,79372539331.93771,10000000000.0
610,10000000000.0,47958315233.1272,10000000000.0
620,10000000000.0,36055512754.63989,10000000000.0
630,10000000000.0,10000000000.0,10000000000.0
640,10000000000.0,10000000000.0,10000000000.0
650,10000000000.0,28284271247.461903,10000000000.0
660,10000000000.0,10000000000.0,10000000000.0
670,10000000000.0,33166247903.553997,10000000000.0
680,10000000000.0,10000000000.0,10000000000.0
690,10000000000.0,63245553203.367584,10000000000.0
700,10000000000.0,0.0,10000000000.0
