iteration,loss,gradient_norm,step_size,line_search_iter,condition_number
440,1.212173317901266e+114,1.5571943146937836e+57,1.0,1,83377.89982295882
450,4.9055576859733724e+116,3.13261402769116e+58,1.0,1,26914.694876286198
460,1.962613298331681e+119,6.265884446295984e+59,1.0,1,15354.48274563516
470,7.758380738734656e+121,1.2458132544086756e+61,1.0,1,11358.611595024295
480,3.028716231327389e+124,2.461496138177102e+62,1.0,1,11360.165550865553
490,1.1669495819344203e+127,4.8316832181512445e+63,1.0,1,11365.128533442043
500,4.435064780795889e+129,9.419438420386688e+64,1.0,1,11378.473887723858
510,1.6616659143784643e+132,1.8232641416664136e+66,1.0,1,11413.32960742995
520,6.133629055867505e+134,3.5029931676653277e+67,1.0,1,11507.91752502029
530,2.2291927420464227e+137,6.678166622566557e+68,1.0,1,11782.843723413565
540,7.971712293305038e+139,1.2628805258917807e+70,1.0,1,12597.198516097436
550,2.8030920932001586e+142,2.368144981070451e+71,1.0,1,14936.691998552336
560,9.685047777926605e+144,4.401936554424999e+72,1.0,1,22849.898223060925
570,3.2857090189613806e+147,8.107947059610847e+73,1.0,1,136631.5321366154
580,1.0936765937333284e+150,1.4792598497600274e+75,1.0,1,38084.68866482073
590,3.5688913941973855e+152,2.6722098932151586e+76,1.0,1,16025.38197101312
600,1.1407579387181097e+155,4.777545413061173e+77,0.8,2,10891.008207819637
610,3.5684126306017156e+157,8.449871890121971e+78,0.8,2,10905.568508839495
620,1.0913202949261132e+160,1.477725094354094e+80,0.8,2,10980.9332232222
630,3.259567170744786e+162,2.553894630130528e+81,0.8,2,11304.30164191217
640,9.496936882643803e+164,4.3593419250646786e+82,0.6400000000000001,3,12179.105559148187
650,2.6955357885995637e+167,7.344440730212889e+83,0.6400000000000001,3,14517.831481368486
660,7.441913770077499e+169,1.2203563123642061e+85,0.6400000000000001,3,25940.657023933403
670,1.994962354456152e+172,1.9981189932368836e+86,0.5120000000000001,4,82573.1482202163
680,5.181850108578517e+174,3.220387328416475e+87,0.5120000000000001,4,11524.707677903521
690,1.3008614211824717e+177,5.102648916933108e+88,0.5120000000000001,4,34863.950650130704
700,3.1463143190613274e+179,7.935963296373921e+89,0.2621440000000001,7,11405.683955990551
710,7.302127442280146e+181,1.2090588716580342e+91,0.5120000000000001,4,11056.695546251562
720,1.6176155014124833e+184,1.7996711049074213e+92,0.5120000000000001,4,11006.068377654445
730,3.39589940398528e+186,2.607829395924926e+93,0.5120000000000001,4,21715.07665081699
740,6.687423364408232e+188,3.660159029126606e+94,0.6400000000000001,3,20144.0830066144
750,1.2166878885221975e+191,4.9382067747444024e+95,0.6400000000000001,3,20721.78071426237
760,1.996060757128075e+193,6.327845498093388e+96,0.8,2,22523.725866963137
770,2.830005333841412e+195,7.541136334131526e+97,1.0,1,26392.253957651217
780,3.1831702596254154e+197,8.01470017184042e+98,1.0,1,35462.81998884412
790,2.281403040969731e+199,6.837996381647118e+99,1.0,1,63598.13570686346
800,3.973948145606475e+200,3.134537992306836e+100,1.0,1,563382.2221414582
810,4.128322818274493e+200,3.7428968145387865e+100,1.0,1,64622.464866606795
820,4.224339287846292e+200,3.768613915070348e+100,0.2621440000000001,7,17318.97796878627
830,4.324048318473741e+200,3.795110139661484e+100,1.0,1,17345.00643144482
840,4.429959443642753e+200,3.8230737448494576e+100,1.0,1,17577.124026830836
850,4.543549997333555e+200,3.852891043314285e+100,1.0,1,18146.167083955534
860,4.662875663627322e+200,3.884042443163091e+100,1.0,1,19184.991192579648
870,4.783517044014537e+200,3.9152457910823664e+100,1.0,1,20884.43653390294
880,4.904924445209551e+200,3.9463369679111365e+100,1.0,1,24157.800346511405
