iteration,loss,time
1,102.72019987132227,0.0
2,0.14920607862860488,0.0
3,0.05178129365020922,0.0
4,0.03186689810936246,0.0
5,0.025591304708788166,0.0
6,0.024323352462958924,0.0
7,0.02389397906222058,0.0
8,0.023851900269104075,0.0
9,0.023849161196951435,0.0
10,0.023849159762700318,0.0
11,0.023849159760869248,0.0
12,0.023849159760868793,0.0
