iteration,loss,gradient_norm,step_size,line_search_iterations
0,51.029554801818485,10.214643768598878,1.0,0.0
1,0.011924579974647955,1.0093347547943186e-07,1.0,0.0
2,0.011924579974447415,4.415908606545122e-11,,
