iteration,loss,gradient_norm
0,0.012049780926571173,0.005782051759031329
100,0.01195811965242759,0.003314219178729588
200,0.011935614165416983,0.0006858630308668415
300,0.011928821022509379,0.00040817212332475166
400,0.011926610569605043,0.0006413340541611848
500,0.011925749703670814,0.00014521411524511877
600,0.011925383327352369,0.0001084262881653772
700,0.011925203280243584,0.0001978294545415589
800,0.01192510555590781,5.604914854328563e-05
900,0.011925047094675668,9.206624511828542e-05
1000,0.01192500769246907,9.629857115699214e-05
1100,0.011924979779291824,3.237461042250241e-05
1200,0.011924957688198023,6.0604885123166775e-05
1300,0.011924938566856473,7.339765166318147e-05
1400,0.011924921700760047,2.5836128647256288e-05
1500,0.011924906521360497,5.356904205249725e-05
1600,0.011924892090241022,6.5290304653008e-05
1700,0.011924878444705298,2.3365118408355587e-05
1800,0.011924865876546406,4.7937171042548653e-05
1900,0.011924853414496145,5.83511378649164e-05
2000,0.011924841873321476,2.231908477329129e-05
2100,0.011924830675820737,4.302861288105935e-05
2200,0.011924820003554349,2.0069440644677787e-05
2300,0.011924809705034822,2.0627544277166676e-05
2400,0.011924799891465982,3.8671584360629394e-05
2500,0.011924790566992461,5.3459689841843836e-05
2600,0.011924781512158589,1.9094176481197264e-05
2700,0.011924773105131004,3.928262353087368e-05
2800,0.011924764731413885,4.782787650072698e-05
2900,0.011924756956446573,1.8317681096991897e-05
3000,0.011924749402140456,3.5281269573877946e-05
3100,0.011924742196152043,1.648606924706167e-05
3200,0.011924735240286475,1.6943084677797845e-05
3300,0.011924728609496959,3.171371723439412e-05
3400,0.011924722308901963,4.38277438587362e-05
3500,0.011924716189332487,1.5686628047518365e-05
3600,0.01192471050723326,3.2212398507365307e-05
3700,0.011924704848302815,3.9212078685024415e-05
3800,0.011924699593200883,1.504740720202066e-05
3900,0.011924694487285389,2.8932710807498683e-05
4000,0.011924689616671804,1.354697168125472e-05
4100,0.011924684915816516,1.3919099194959259e-05
4200,0.011924680434075493,1.4638902774331095e-05
4300,0.011924676175949481,3.593152916153394e-05
4400,0.011924672039699186,1.2887623327401105e-05
4500,0.011924668199084535,2.641487432269923e-05
4600,0.011924664374670813,3.21484540573562e-05
4700,0.011924660822680575,1.2361087907193268e-05
4800,0.011924657371583523,2.372660952611611e-05
4900,0.011924654087148998,3.2939986773739445e-05
5000,0.011924650902553895,1.1434882147714577e-05
5100,0.011924647873346461,1.2022362450618419e-05
5200,0.011924644995576278,2.945798897467434e-05
5300,0.011924642199861182,1.058808854629396e-05
5400,0.01192463960393305,2.166083913650486e-05
5500,0.01192463701931899,2.6357316004774382e-05
5600,0.011924634618484054,1.0154377600218491e-05
5700,0.011924632285881942,1.9457344012264933e-05
5800,0.011924630066178568,2.700467298632803e-05
5900,0.011924627913684557,9.394069232091907e-06
