iteration,loss,gradient_norm
0,0.012650215472304091,0.01006734642518632
100,0.012198156217444567,0.004421589645998775
200,0.012078400548038317,0.002731322530212983
300,0.012023920337128253,0.0020116120725445392
400,0.011991868544887522,0.0015955632336971113
500,0.011971123855750533,0.0012980102127825507
600,0.01195725242185496,0.001066081307190514
700,0.011947845049474224,0.0008802441228737317
800,0.011941404548268699,0.0007299845783954729
900,0.011936956810625399,0.0006080308247603125
1000,0.011933987816036913,0.0005132678964382525
1100,0.011931862701815132,0.00043527330434916535
1200,0.011930327334135387,0.00037091892746763907
1300,0.011929206935653955,0.00031770670882810896
1400,0.011928380684173776,0.00027360250113183776
1500,0.011927764594307324,0.0002369487862855819
1600,0.01192729993619752,0.00020639493551752636
1700,0.01192694537257508,0.0001808409237989002
1800,0.011926671601594612,0.00015939157476199534
1900,0.011926457693593412,0.00014131914633600936
2000,0.011926296155044699,0.000126731928944098
2100,0.011926165560033765,0.00011425288469247861
2200,0.011926058877996871,0.00010353497305121948
2300,0.011925970832916412,9.430028827815214e-05
2400,0.011925897431625705,8.632050676752962e-05
2500,0.011925835626039933,7.9407568071719e-05
2600,0.01192578306985154,7.340599612766446e-05
2700,0.011925737942144524,6.818661150986614e-05
2800,0.011925698818639809,6.36414199268019e-05
2900,0.011925664577019459,5.9679490492356294e-05
3000,0.011925635756483071,5.63839419503014e-05
3100,0.01192560992405758,5.349008474433777e-05
3200,0.011925586582372813,5.094678483683615e-05
3300,0.011925565325684069,4.871099050437326e-05
3400,0.0119255458215546,4.674489846270424e-05
3500,0.011925527796546577,4.501518264667974e-05
3600,0.011925511024963113,4.349238763513196e-05
3700,0.011925495319929827,4.215044624905612e-05
3800,0.011925480526283628,4.0966288684464565e-05
3900,0.011925466514867944,3.991951780580358e-05
4000,0.011925453830282547,3.903549389712537e-05
4100,0.01192544167672133,3.824604939094403e-05
4200,0.011925429988664155,3.753864510999584e-05
4300,0.011925418710659429,3.690266121444865e-05
4400,0.01192540779570535,3.632876145809156e-05
4500,0.011925397203903513,3.580876026500909e-05
4600,0.011925386901336063,3.533549966732674e-05
4700,0.01192537685912696,3.490273577343092e-05
4800,0.011925367052655548,3.4505034568930105e-05
4900,0.01192535746089647,3.413767685767365e-05
5000,0.011925348531213008,3.3812898419361036e-05
5100,0.011925339765793805,3.3508938740016695e-05
5200,0.011925331153168173,3.322297105782894e-05
5300,0.01192532268339415,3.295269182113793e-05
5400,0.011925314347836844,3.269610076693525e-05
5500,0.011925306138979519,3.245146265218945e-05
5600,0.011925298050262448,3.2217273394859445e-05
5700,0.011925290075945455,3.199223021681762e-05
5800,0.011925282210990495,3.177520539407367e-05
5900,0.011925274450961369,3.156522323926686e-05
6000,0.011925267172557241,3.137139378531317e-05
6100,0.011925259982317585,3.118263335524932e-05
6200,0.011925252877565186,3.09982922792829e-05
6300,0.011925245855892897,3.081789503463118e-05
6400,0.011925238915127508,3.06410277438474e-05
6500,0.011925232053298589,3.0467330204481676e-05
6600,0.01192522526861161,3.0296488928217932e-05
6700,0.011925218559424772,3.012823106676245e-05
6800,0.01192521192422898,2.9962319115434217e-05
6900,0.01192520536163061,2.9798546297891034e-05
7000,0.011925199193235076,2.964469904063559e-05
7100,0.011925193088155728,2.9492566037955766e-05
7200,0.011925187045420263,2.9341947536217615e-05
7300,0.011925181064111688,2.919273963172741e-05
7400,0.011925175143361758,2.9044851073080125e-05
7500,0.01192516928234532,2.88982016751185e-05
7600,0.01192516348027537,2.8752720930881807e-05
7700,0.011925157736398745,2.8608346797080434e-05
7800,0.011925152049992381,2.8465024631602665e-05
7900,0.011925146420360057,2.8322706264151333e-05
8000,0.01192514112419036,2.8188324529260102e-05
8100,0.011925135878093926,2.8054848913678664e-05
8200,0.011925130681528284,2.7922179751662273e-05
8300,0.011925125533965339,2.77902914168338e-05
8400,0.011925120434890081,2.765916103120548e-05
8500,0.011925115383799431,2.75287681364094e-05
8600,0.01192511038020126,2.739909440437458e-05
8700,0.011925105423613509,2.7270123382730504e-05
8800,0.011925100513563386,2.7141840270780737e-05
8900,0.01192509564958673,2.7014231722383265e-05
9000,0.011925091071074244,2.6893554235024572e-05
9100,0.01192508653334636,2.6773528877683753e-05
9200,0.011925082036023944,2.6654083428690167e-05
9300,0.011925077578733272,2.6535210027880378e-05
9400,0.011925073161105706,2.6416901455810964e-05
9500,0.011925068782777477,2.6299151061441225e-05
9600,0.011925064443389425,2.6181952698094455e-05
9700,0.01192506014258681,2.6065300666764962e-05
9800,0.01192505588001911,2.594918966590614e-05
9900,0.011925051655339877,2.5833614746984754e-05
