iteration,loss,gradient_norm,step_size,line_search_iterations
0,42.80660579015345,9.370367417429332,0.01,0
10,35.013991304623765,8.474392336913725,0.01,0
20,28.64035784203587,7.664088533642993,0.01,0
30,23.427318804771247,6.9312642979319286,0.01,0
40,19.163538001629373,6.26851119437025,0.01,0
50,15.676162095313417,5.6691291667624455,0.01,0
60,12.823813141776387,5.127058804377784,0.01,0
70,10.49085713952583,4.636820084760867,0.01,0
80,8.582716236328212,4.193456973827512,0.01,0
90,7.0220345505427035,3.7924873231844436,0.01,0
100,5.745542169783734,3.4298575581632536,0.01,0
110,4.7014901936656255,3.1019016984905208,0.01,0
120,3.847552837464557,2.805304297316363,0.01,0
130,3.149111548145844,2.5370669239361443,0.01,0
140,2.5778515709557643,2.2944778513647726,0.01,0
150,2.110614071498174,2.075084642322197,0.01,0
160,1.7284572784156051,1.8766693564900672,0.01,0
170,1.4158885854731598,1.6972261283990553,0.01,0
180,1.160236482524302,1.5349408892720344,0.01,0
190,0.9511368534894554,1.3881730278225277,0.01,0
200,0.780112815907975,1.2554388046095264,0.01,0
210,0.6402310687921169,1.1353963522772739,0.01,0
220,0.5258208171521257,1.0268321100409936,0.01,0
230,0.43224387841482775,0.9286485552789122,0.01,0
240,0.3557066508681414,0.8398531082040126,0.01,0
250,0.2931063213470107,0.7595480974480097,0.01,0
260,0.2419050774325525,0.6869216851153795,0.01,0
270,0.2000272247368601,0.6212396595648809,0.01,0
280,0.1657750384163023,0.5618380129482463,0.01,0
290,0.13775993754035004,0.5081162284692606,0.01,0
300,0.11484619213021433,0.45953120950114434,0.01,0
310,0.09610488075513215,0.4155917891891537,0.01,0
320,0.0807762321308688,0.375853765033585,0.01,0
330,0.06823882405180741,0.3399154082556337,0.01,0
340,0.05798439098377337,0.30741340254837934,0.01,0
350,0.04959721901938583,0.27801917115596353,0.01,0
360,0.04273729286905524,0.25143555514982485,0.01,0
370,0.03712651166797787,0.22739380932128536,0.01,0
380,0.03253741478901956,0.2056508853206301,0.01,0
390,0.028783960606841234,0.18598697457679675,0.01,0
400,0.025713984385089896,0.16820328615798955,0.01,0
410,0.02320302952999411,0.15212003710864316,0.01,0
420,0.021149302129872868,0.13757463494618974,0.01,0
430,0.01946954423798946,0.12442003394372081,0.01,0
440,0.018095658601960246,0.11252324858148051,0.01,0
450,0.016971948006517225,0.10176400913904919,0.01,0
460,0.016052857312795814,0.09203354583700403,0.01,0
470,0.01530112665660098,0.08323348923644289,0.01,0
480,0.014686280936451235,0.0752748757799954,0.01,0
490,0.014183394355371205,0.06807724842097404,0.01,0
500,0.013772079931048318,0.06156784324847279,0.01,0
510,0.01343566300917872,0.05568085388569393,0.01,0
520,0.013160505274298065,0.050356766224986804,0.01,0
530,0.012935451853548217,0.04554175677412557,0.01,0
540,0.012751379099012342,0.04118714853148442,0.01,0
550,0.012600824715747607,0.0372489188892748,0.01,0
560,0.012477685240937916,0.033687254590087014,0.01,0
570,0.012376968609992291,0.0304661492375297,0.01,0
580,0.012294591778640725,0.027553039292091422,0.01,0
590,0.012227215196641683,0.02491847487231685,0.01,0
600,0.0121721074226784,0.022535822033270633,0.01,0
610,0.012127034391943774,0.020380993512543088,0.01,0
620,0.012090168847329554,0.018432205221763174,0.01,0
630,0.012060016262566925,0.016669756021859182,0.01,0
640,0.012035354254249803,0.015075828555783113,0.01,0
650,0.012015183026507942,0.013634309125181812,0.01,0
660,0.011998684839361166,0.012330624790082434,0.01,0
670,0.011985190857605292,0.011151596044789163,0.01,0
680,0.011974154036285557,0.010085303580576915,0.01,0
690,0.01196512694353739,0.009120967788279071,0.01,0
700,0.011957743621733859,0.008248839782572594,0.01,0
710,0.011951704751592544,0.007460102846327338,0.01,0
720,0.011946765517795171,0.006746783298581704,0.01,0
730,0.011942725684194192,0.0061016698852138325,0.01,0
740,0.011939421476255015,0.005518240877243346,0.01,0
750,0.011936718941649284,0.004990598139873587,0.01,0
760,0.011934508519838155,0.00451340750571803,0.01,0
770,0.01193270060049661,0.004081844849398867,0.01,0
780,0.011931221890718026,0.0036915473183993268,0.01,0
790,0.011930012443725433,0.0033385692270950953,0.01,0
800,0.011929023228633992,0.003019342168133579,0.01,0
810,0.01192821414274274,0.002730638937866421,0.01,0
820,0.011927552385774287,0.002469540911158034,0.01,0
830,0.011927011130154146,0.002233408535751049,0.01,0
840,0.01192656843342297,0.002019854647891905,0.01,0
850,0.011926206348691017,0.0018267203394759064,0.01,0
860,0.011925910197072604,0.0016520531327020853,0.01,0
870,0.011925667972605287,0.0014940872416509903,0.01,0
880,0.011925469855529058,0.0013512257211778453,0.01,0
890,0.011925307814194076,0.001222024322726356,0.01,0
900,0.011925175279458198,0.0011051768937858637,0.01,0
910,0.011925066878374484,0.0009995021734364622,0.01,0
920,0.011924978216372338,0.0009039318504768372,0.01,0
930,0.011924905699101988,0.0008174997634060878,0.01,0
940,0.011924846386719801,0.0007393321330769202,0.01,0
950,0.01192479787470728,0.0006686387292919885,0.01,0
960,0.011924758196392047,0.0006047048820241908,0.01,0
970,0.011924725743219136,0.0005468842565123526,0.01,0
980,0.011924699199540255,0.000494592319182275,0.01,0
990,0.011924677489277556,0.00044730042834616917,0.01,0
1000,0.01192465973229949,0.00040453048994038693,0.01,0
1010,0.011924645208740361,0.00036585012425818694,0.01,0
1020,0.011924633329817013,0.0003308682948447569,0.01,0
1030,0.011924623613959628,0.0002992313553435651,0.01,0
1040,0.011924615667288897,0.0002706194743190722,0.01,0
1050,0.011924609167648212,0.00024474340196216186,0.01,0
1060,0.011924603851543446,0.00022134154592720886,0.01,0
1070,0.011924599503460916,0.0002001773267897034,0.01,0
1080,0.011924595947130488,0.00018103678634998877,0.01,0
1090,0.011924593038379606,0.00016372642465294692,0.01,0
1100,0.01192459065928852,0.00014807124380601726,0.01,0
1110,0.011924588713409866,0.00013391297885739155,0.01,0
1120,0.011924587121858657,0.0001211084978077893,0.01,0
1130,0.011924585820114329,0.00010952835465706772,0.01,0
1140,0.011924584755405062,9.905548075510308e-05,0.01,0
1150,0.01192458388456841,8.958400131422607e-05,0.01,0
1160,0.01192458317230152,8.101816507434397e-05,0.01,0
1170,0.011924582589729936,7.327137631518296e-05,0.01,0
1180,0.011924582113237044,6.626531941402163e-05,0.01,0
1190,0.011924581723506652,5.992916713196497e-05,0.01,0
1200,0.01192458140473991,5.4198864580504186e-05,0.01,0
1210,0.011924581144014824,4.9016481660969166e-05,0.01,0
1220,0.01192458093076242,4.432962743780394e-05,0.01,0
1230,0.011924580756338246,4.009092048853151e-05,0.01,0
1240,0.011924580613671954,3.625750989507822e-05,0.01,0
1250,0.011924580496980655,3.2790642067761076e-05,0.01,0
1260,0.011924580401534478,2.96552689456654e-05,0.01,0
1270,0.011924580323464842,2.6819693690419924e-05,0.01,0
1280,0.011924580259607586,2.4255250255239773e-05,0.01,0
1290,0.011924580207374746,2.1936013577758904e-05,0.01,0
1300,0.011924580164649591,1.9838537497536245e-05,0.01,0
1310,0.011924580129700843,1.7941617724913135e-05,0.01,0
1320,0.011924580101112466,1.6226077484043308e-05,0.01,0
1330,0.011924580077726286,1.4674573640736982e-05,0.01,0
1340,0.011924580058595015,1.3271421373030956e-05,0.01,0
1350,0.011924580042943863,1.2002435607878837e-05,0.01,0
1360,0.011924580030139126,1.0854787628453663e-05,0.01,0
1370,0.011924580019662493,9.816875368498454e-06,0.01,0
1380,0.01192458001109003,8.878206124156594e-06,0.01,0
1390,0.011924580004075005,8.029290485930217e-06,0.01,0
1400,0.011924579998333816,7.261546399217099e-06,0.01,0
1410,0.011924579993634509,6.567212403271501e-06,0.01,0
1420,0.011924579989787359,5.939269187628524e-06,0.01,0
1430,0.011924579986637197,5.371368599408636e-06,0.01,0
1440,0.011924579984057106,4.85776948424225e-06,0.01,0
1450,0.011924579981943283,4.3932796500525936e-06,0.01,0
1460,0.01192457998021082,3.973203370092664e-06,0.01,0
1470,0.011924579978790279,3.5932939136576853e-06,0.01,0
1480,0.011924579977624854,3.2497106108024804e-06,0.01,0
1490,0.011924579976668098,2.9389800281423487e-06,0.01,0
1500,0.011924579975882005,2.6579608584979947e-06,0.01,0
1510,0.011924579975235505,2.403812158659614e-06,0.01,0
1520,0.011924579974703182,2.1739646307662837e-06,0.01,0
1530,0.011924579974264233,1.9660946446202362e-06,0.01,0
1540,0.011924579973901665,1.7781007559507956e-06,0.01,0
1550,0.011924579973601569,1.6080824535937873e-06,0.01,0
