iteration,loss,gradient_norm,velocity_norm
0,17.734105414404272,6.195064906714619,1.906844038628844
10,6.092129755065978,3.6714032315568423,1.9396519954259213
20,2.0690440078338463,2.2137142110181642,1.616203979048409
30,0.6983168905461237,1.3102455533783846,1.2707530600980956
40,0.2395644523128683,0.7636532090057613,0.9203056843991134
50,0.08655370409263391,0.452678219732297,0.6386947159308997
60,0.036405688532944694,0.2627857833655703,0.4348890974440004
70,0.020266662716536543,0.1506103031598368,0.2876765233555825
80,0.01509043627072893,0.08785038545292122,0.1870631473014087
90,0.01346874882010082,0.049907572638218475,0.12045460391075243
100,0.012972021687743552,0.028084213706234654,0.07624557913959835
110,0.012819995762783976,0.016134865234112176,0.04780536316048651
120,0.012774905823415228,0.008943316621134666,0.029809759924913134
130,0.012761943720420327,0.004919834800076971,0.018375319941667006
140,0.012758191930039004,0.0027817448535669277,0.011259137371088008
150,0.012757141951682125,0.001492399639070158,0.0068765395260968675
160,0.012756844041364263,0.00079778093935615,0.0041749984972684895
170,0.01275674545781136,0.0004457593521034373,0.0025392472020973013
180,0.012756705056885267,0.00023033901481660208,0.0015604813745503977
190,0.012756682051979011,0.00012317259537973833,0.0009813179512212086
200,0.012756665748052978,7.414663909375692e-05,0.0006491200833612374
210,0.012756653351956339,4.405300269745454e-05,0.00046296442814456397
220,0.012756643616634249,3.239007255615398e-05,0.0003582703856895399
230,0.012756635896616662,2.6982241128671853e-05,0.00029635677238575405
240,0.012756629763607061,2.286737864610128e-05,0.0002552037700641516
250,0.012756624880239317,2.01933426801495e-05,0.0002242941780140537
260,0.012756620986693286,1.7958427698339896e-05,0.00019903257122741677
270,0.012756617879919122,1.596959202870176e-05,0.00017736021468110102
280,0.012756615399267729,1.4251128621855348e-05,0.00015833603270474584
290,0.012756613417709594,1.272674449423965e-05,0.00014146695316689852
300,0.012756611834397373,1.1368822938022785e-05,0.0001264405760264072
310,0.012756610569053115,1.0160788793931759e-05,0.00011302948820015418
320,0.012756609557697383,9.082668631660778e-06,0.00010104970780575503
