iteration,loss,gradient_norm
0,27.583405413886723,7.770578598568865
1,15.27284628946145,6.54890723898796
2,9.517460443699237,6.990232829819809
3,8.431835707796468,9.476928691105995
4,12.758717116751505,14.324829171825728
5,27.23616193848033,22.33712702577901
6,65.18899697256762,35.1084899395721
7,160.58543381444508,55.30364836882874
8,398.37339445734506,87.18048692320896
9,990.1450564528262,137.47438648836194
10,2462.508791112793,216.81647368278573
11,6125.869489992427,341.9789880067935
12,15240.934437521748,539.420014783046
13,37921.38133488375,850.8760576242112
14,94356.67474368543,1342.1843433656488
15,234784.864031836,2117.199646036525
