epoch,cost
0,7.945895896733467e+17
10,2.1099484520345903e+26
20,6.756878038987804e+27
30,7.992863925209432e+22
40,1.2103091156220412e+19
50,7.757489620228654e+18
60,5.590497575979475e+18
70,4.291943881317378e+18
80,3.432890437711801e+18
90,2.829368091547092e+18
