iteration,loss,gradient_norm
0,0.012626133032946033,0.009857809003966322
100,0.012190454407662556,0.004415945364154954
200,0.01207327678254198,0.002741112639261255
300,0.012020212462505207,0.002022003902394635
400,0.011989219168416256,0.0016070697626207509
500,0.011969265048960545,0.001311713684501432
600,0.011955961314975882,0.0010820818766576212
700,0.011946949434160949,0.0008981032652048775
800,0.011940779159640398,0.0007490956317309286
900,0.011936514106651003,0.0006277894077582767
1000,0.011933537934590382,0.0005286899384715052
1100,0.01193144074372603,0.0004474886654506443
1200,0.011929947792623194,0.0003807621423747932
1300,0.011928873609589781,0.00032577415523577706
1400,0.011928092098285784,0.000280329870131453
1500,0.011927516912501811,0.00024266370539626503
1600,0.011927088489502516,0.0002113517804376881
1700,0.01192676543075478,0.00018524308259249976
1800,0.011926518738138672,0.00016340512350451248
1900,0.0119263279364581,0.0001450808886807294
2000,0.011926178449056371,0.00012965462239936446
2100,0.011926059810592225,0.00011662454552641198
2200,0.011925964442271867,0.00010558102974411515
2300,0.011925886807139397,9.618908088525135e-05
2400,0.011925822823667092,8.81742389792501e-05
2500,0.0119257694559279,8.131119972271572e-05
2600,0.011925724425207885,7.541461397793182e-05
2700,0.01192568600564499,7.033163851199518e-05
2800,0.011925652878368755,6.593590051249759e-05
2900,0.011925624026628213,6.21226069128116e-05
3000,0.011925598659824264,5.880458238552898e-05
3100,0.011925576158060334,5.5909061030173255e-05
3200,0.011925556031356904,5.33750893183647e-05
3300,0.011925537889418303,5.1151423976288815e-05
3400,0.011925521419046434,4.919482974659242e-05
3500,0.011925506367135578,4.746869946829227e-05
3600,0.01192549252776995,4.594193339824974e-05
3700,0.01192547973235935,4.458802670566312e-05
3800,0.011925467842040863,4.3384323998237036e-05
3900,0.011925456741783283,4.231140789890258e-05
4000,0.011925446335780136,4.135259534869017e-05
4100,0.011925436543825076,4.0493520695642304e-05
4200,0.011925427298441371,3.972178894769082e-05
4300,0.011925418542594372,3.90266860032123e-05
4400,0.011925410227857607,3.8398935388530786e-05
4500,0.011925402312934324,3.783049316700381e-05
4600,0.01192539476245909,3.7314374358064386e-05
4700,0.011925387546021599,3.684450551468495e-05
4800,0.01192538063736763,3.6415599134381155e-05
4900,0.01192537401374214,3.602304638522303e-05
5000,0.011925367655346878,3.566282526492683e-05
5100,0.011925361544890862,3.5331421816511344e-05
5200,0.011925355667216364,3.502576242828678e-05
5300,0.01192535000898666,3.4743155571718176e-05
5400,0.011925344558424464,3.448124159558139e-05
5500,0.01192533930509218,3.4237949411600015e-05
5600,0.011925334239706672,3.4011459085854025e-05
5700,0.011925329353982734,3.3800169498845476e-05
5800,0.011925324640500423,3.360267036154712e-05
5900,0.011925320092592388,3.3417717979145316e-05
6000,0.01192531570424786,3.3244214242452665e-05
6100,0.011925311470030703,3.308118840162106e-05
6200,0.011925307385009305,3.2927781240306725e-05
6300,0.011925303444696434,3.278323132250958e-05
6400,0.01192529964499755,3.264686303045069e-05
6500,0.01192529598216628,3.2518076151321945e-05
6600,0.011925292452766027,3.239633680450178e-05
6700,0.011925289053636708,3.2281169529789964e-05
6800,0.011925285781866007,3.2172150381989904e-05
6900,0.011925282634764346,3.2068900898500364e-05
7000,0.011925279609843166,3.1971082824877e-05
7100,0.011925276704796,3.187839349900163e-05
7200,0.011925273917481905,3.1790561808054104e-05
7300,0.011925271245911032,3.1707344644106704e-05
7400,0.011925268688231941,3.162852379415447e-05
7500,0.011925266242720486,3.15539032090439e-05
7600,0.01192526390777007,3.1483306603165535e-05
7700,0.011925261681883008,3.1416575343239805e-05
7800,0.01192525956366298,3.135356658999578e-05
7900,0.011925257551808332,3.1294151661372e-05
8000,0.01192525564510615,3.1238214589980566e-05
8100,0.011925253842427059,3.118565085115022e-05
8200,0.011925252142720551,3.113636624097393e-05
8300,0.011925250545010911,3.109027588643409e-05
8400,0.011925249048393571,3.1047303372074724e-05
8500,0.011925247652031873,3.100737996963062e-05
8600,0.011925246355154219,3.097044395884113e-05
8700,0.01192524515705153,3.093644002921813e-05
8800,0.011925244057075018,3.090531875381292e-05
8900,0.011925243054634185,3.0877036127277266e-05
9000,0.011925242149195095,3.0851553161494115e-05
9100,0.011925241340278838,3.0828835532964434e-05
9200,0.011925240627460204,3.080885327696189e-05
9300,0.011925240010366517,3.0791580524148965e-05
9400,0.011925239488676657,3.0776995275984374e-05
9500,0.011925239062120216,3.076507921583602e-05
9600,0.011925238730476814,3.075581755321233e-05
9700,0.01192523849357553,3.07491988989879e-05
9800,0.0119252383512945,3.0745215169958454e-05
9900,0.01192523825677588,3.0742586719444437e-05
