iteration,loss,gradient_norm,learning_rate
0,48.45661267670508,10.042902351369483,0.03
1,45.9514435880504,9.94993964281599,0.03
2,43.46045256906838,9.821356081249913,0.03
3,40.72182662063293,9.352423272113437,0.03
4,38.0975260409196,8.858217686846972,0.03
5,35.73813161464738,8.506318249898003,0.03
6,33.64242597038464,8.241643492924325,0.03
7,31.783288524720135,8.092753129592692,0.03
8,29.84420048172981,7.813879006514834,0.03
9,28.098040390950295,7.564759795102645,0.03
10,26.79117616444671,7.724559265310239,0.03
11,25.374488957054258,7.620416109113751,0.03
12,23.86402046209673,7.370360423228067,0.03
13,22.12286260208934,6.729118462792598,0.03
14,20.852773111416404,6.522786604171722,0.03
15,19.62378143605603,6.347869307047403,0.03
16,18.506717491838,6.244422458825462,0.03
17,17.38031582456533,6.025648698539857,0.03
18,16.322634988758228,5.758281480135768,0.03
19,15.36581342489301,5.565727756134086,0.03
20,14.515400350517474,5.453883016347193,0.03
21,13.624263381039567,5.235714004709802,0.03
22,12.879628441174615,5.096763804549356,0.03
23,12.131074507729576,4.985385520664697,0.03
24,11.370248116947703,4.784377568616681,0.03
25,10.758905381317279,4.6969947003660355,0.03
26,10.1833399975926,4.613278735390378,0.03
27,9.704114171682964,4.632552015374701,0.03
28,9.038138827134084,4.307832142909637,0.03
29,8.4733250459913,4.161791326346914,0.03
30,8.001205092936166,4.044463130721634,0.03
31,7.5367618031386865,3.9945545895579424,0.03
32,7.147889440674664,3.970037802824867,0.03
33,6.677501568774025,3.734808683571741,0.03
34,6.293255651488451,3.614868539464631,0.03
35,5.912370322786234,3.446800687993249,0.03
36,5.572268846611159,3.357353350394886,0.03
37,5.242444101255459,3.2734369318808376,0.03
38,4.939436396326264,3.1798661502667285,0.03
39,4.641553551259504,3.078486791768048,0.03
40,4.38096536083395,3.0014985814596598,0.03
41,4.171974488262928,2.976008054857981,0.03
42,3.9405391321426437,2.9062702677947096,0.03
43,3.7087914231801773,2.8284015399149456,0.03
44,3.5213136606715354,2.821496233558684,0.03
45,3.333969528163196,2.7163931225883355,0.03
46,3.1474098784196074,2.6476858129401655,0.03
47,2.99870026747271,2.719291272992099,0.03
48,2.8190621907180526,2.6282983803050075,0.03
49,2.6352327331880923,2.4956523534141217,0.03
50,2.4584280894243684,2.3623582310542792,0.03
51,7.6726671073918915,8.057599211745806,0.03
52,7.538194407952481,8.035604685360653,0.03
53,7.410787956231264,8.02094490689616,0.03
54,7.297034900134972,8.008229053293123,0.03
55,7.165712873922642,7.985165758548687,0.03
56,7.059395548096371,7.967780112107851,0.03
57,6.952100448059654,7.947752405430117,0.03
58,6.881081493271772,7.964629267970164,0.03
59,6.783092246712008,7.937756509080075,0.03
60,6.710002691796562,7.935725895575202,0.03
61,6.618059321650148,7.909890644791205,0.03
62,6.5395476578665095,7.89705066696842,0.03
63,6.4723839679146,7.88954245227474,0.03
64,6.413351881234127,7.889561046304939,0.03
65,6.364539657600766,7.894395337070835,0.03
66,6.311198984612501,7.887757447079225,0.03
67,6.2437409230263485,7.871037071753587,0.03
68,6.18881636957467,7.856798652360809,0.03
69,6.143933054189888,7.849451490847239,0.03
70,6.103328100538863,7.847841489300929,0.03
71,6.056529703497688,7.833557906838842,0.03
72,6.020871789628611,7.832554565157291,0.03
73,5.974654320317009,7.817905183598926,0.03
74,5.939503452013064,7.812782017445929,0.03
75,5.9102136620498875,7.811606404361333,0.03
76,5.8761320275037185,7.804882968933923,0.03
77,5.852559793166733,7.804525331510611,0.03
78,5.829542201090444,7.801350269888459,0.03
79,5.801419179393767,7.797532624304025,0.03
80,5.781179295364024,7.79925960104018,0.03
81,5.7667215863468035,7.803356705956285,0.03
82,5.742408084945455,7.7956705337712915,0.03
83,5.722397157439157,7.7914252310742285,0.03
84,5.701097610768387,7.785740364037563,0.03
85,5.684608391697948,7.783670063345916,0.03
86,5.6691427142606035,7.783187792810126,0.03
87,5.6517205723829855,7.780239237487158,0.03
88,5.637661454886257,7.779365823771358,0.03
89,5.618955810352722,7.7729068885247905,0.03
90,5.6058014992054,7.7711222410984995,0.03
91,5.5936937487569915,7.768971230091858,0.03
92,5.5807152634551,7.765909306325167,0.03
93,5.568830879003895,7.764301578776539,0.03
94,5.560682776060287,7.763859837050022,0.03
95,5.549963264188443,7.762506759025684,0.03
96,5.541456990322551,7.761873396940053,0.03
97,5.531908639717742,7.760253722071777,0.03
98,5.524587696451293,7.7587899563509595,0.03
